name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
 2CXO J110443.6-585132,166.18187499999996,-58.85905,0.5092495582383886,6.31,4.356075811196456e-15,-0.10227148573429616,,1.0,19.874487,,15.27,5,,LMXB,0.326245,0.06702363122169776,0,0.455326685953972,0.035875,0.26400999999999997,0.01914,0.044774999999999995,0.002,0.326245,0.04079,0.26716500000000004,0.021881228556988364,0.0639089528489887,0.015181926455193067,0.025099888035196062,0.004562983762936352,0.06702363122169776,0.027903485526086243,0.06272936112975919
 2CXO J110443.6-585425,166.18175,-58.90718611111111,0.4123049589677731,11.7,1.3882797884560804e-14,0.003514989195014573,,1.0,11.441487,9.436,7.195,9,,HM-STAR,0.46578,0.1044092567394907,0,0.4342393152330754,0.00122,0.03507,0.46578,0.075155,0.041,0.00209,0.0,0.379685,0.003784960491990096,0.02378151930934314,0.1044092567394907,0.034363233357860914,0.027831179899073178,0.004749153024956604,0.0,0.09385699180087706
 2CXO J110444.6-584941,166.18595833333333,-58.82809166666667,0.5038986886624818,6.32,3.548233660528579e-15,-0.8962008851435854,,0.987,12.195616,11.373,11.032,9,,LM-STAR,0.98288,0.025607837889235433,1,22.15472725156992,0.0001,0.0010400000000000001,0.01131,0.98288,0.00013000000000000002,0.0,0.0,0.00454,0.0010914170564872035,0.003539905497457654,0.018246008243361523,0.025607837889235433,0.0012184353017639408,0.0,0.0,0.009384906844315314
 2CXO J110445.0-585009,166.18749999999997,-58.83593333333334,0.3444728539707676,10.54,1.1997840193344748e-14,0.34654200329182455,,1.0,,,,0,,LMXB,0.6244550000000001,0.11108585887971086,1,2.5081303944205486,0.16653666666666667,0.03564,0.0005600000000000001,0.10694333333333333,0.0,0.6244550000000001,0.060215000000000005,0.0056500000000000005,0.07148771638256174,0.04789555704221827,0.0024985280952277977,0.08210933671946113,0.0,0.11108585887971086,0.040198192368185774,0.007634512806052902
 2CXO J110445.4-584807,166.18937499999998,-58.80219444444444,0.7926025112693096,5.03,4.4806572661462656e-15,0.8045557356534624,,0.833,,,,0,,AGN,0.8312425,0.2036089242587068,1,2.3633422040300243,0.8312425,0.0011,0.004485,8e-05,1e-05,0.064295,0.08494,0.0138475,0.2036089242587068,0.0040689748778478035,0.008513651229481816,0.0008912880535463237,0.0003162277660168378,0.12090925118460558,0.09876031591687015,0.026952818928605557
 2CXO J110448.4-584833,166.20174999999998,-58.80921111111111,0.5777172497340696,5.72,2.588486407761284e-15,-0.8225749411621079,,0.933,17.351162,14.8,,6,,LM-STAR,0.537535,0.1633460458832895,0,0.34598430059617324,0.00107,0.022740000000000003,0.00709,0.537535,0.00117,0.00439,0.00037,0.425635,0.004046167504129243,0.02008222337530622,0.011223094843128513,0.1633460458832895,0.003917454077133061,0.00717491319664422,0.0022289163438918166,0.16007903383039296
 2CXO J110449.9-585549,166.20829166666664,-58.93033888888888,0.7348058507638847,8.02,1.469396308126156e-14,0.7683481416882033,,0.179,17.81862,15.677,,6,,CV,0.45666500000000004,0.06494128228750298,1,2.6627916715433737,0.07397,0.45666500000000004,0.05036,0.0228,0.09961,0.10507999999999999,0.030760000000000003,0.160755,0.027953899916121187,0.06494128228750298,0.02407176457698627,0.01856622483717961,0.03594774179472391,0.03588427624017627,0.023980146943825168,0.046186449995243864
 2CXO J110450.0-585559,166.20837499999996,-58.93306944444444,0.444917697326292,15.45,2.2109617153256668e-14,-0.8842460003917204,,0.85,11.698784,10.794,10.182,9,,LM-STAR,0.99388,0.010698600845907845,1,50.2017812012511,4e-05,0.0005200000000000001,0.00412,0.99388,0.00013000000000000002,2.9999999999999997e-05,0.0,0.00128,0.0006315051850925684,0.002436295453251828,0.009017034263376557,0.010698600845907845,0.0011333068359382576,0.0005471740119919801,0.0,0.003629707257448563
 2CXO J110450.7-584543,166.21162499999997,-58.76208611111111,0.4695342408382539,11.36,1.3267339618987012e-14,-0.43121415266282287,,0.997,16.458715,14.099,,6,,LM-STAR,0.414385,0.11141593371365376,0,0.5066124321990539,0.0009400000000000001,0.16352,0.004655,0.414385,0.00256,0.102385,0.0016,0.309955,0.003086409876527408,0.0792444905926544,0.007328689151866429,0.11141593371365376,0.005628328177894221,0.06425313408885393,0.004202101576313646,0.09471797331800048
 2CXO J110451.8-585147,166.21616666666662,-58.86320555555556,0.2892868701823789,10.17,8.100776615297285e-15,-0.786297084943302,,0.991,13.696711,12.344,11.751,9,,LM-STAR,0.99398,0.009841567784477038,1,57.92174865780797,0.0,0.00011,0.0011700000000000002,0.99398,4e-05,0.00017,0.0,0.00453,0.0,0.0011354246734985062,0.00481188676656613,0.009841567784477038,0.0007739502561528085,0.001293357171384909,0.0,0.007240962058423694
