_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[0.256],1101.0,0.256,J143756.47+351937.0,219.4852928,35.3269491,0.0425,0.041,142.7,Im,13.685,0.024,12.704,0.023,10.29,0.051,8.176,0.185,16.921,0.165,16.178,0.227,15.455,0.157,1629.944,3343.677,2.1921348013510566e+18,44.4,1.3,46.7,1.02,21.3,0.93,5.9,0.883,1.05,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,210n,44,44,44,44,30,30,5,30,0.0,219.4852958,0.0582,35.3269498,0.0537,-0.017,79,56,23,55,1.3,1.02,0.929,0.883,1.05,2N000,AAAB,15.0,0.0,47.075,46.579,32.671,33.254,886742138,0.541,2M
[0.536],1102.0,0.536,J143830.23+353916.2,219.625966,35.6545107,0.0471,0.0454,115.0,Im,13.883,0.025,13.028,0.026,10.856,0.075,8.815,0.294,16.916,0.216,16.0,0.198,15.511,0.191,3062.458,238.355,2.2011363013510077e+18,43.4,1.51,42.2,0.992,14.6,0.925,3.7,1.07,1.15,1.0,0.0,0.0,0.0,0.0,0.0,dd00,0.0,210n,49,49,49,49,22,31,1,31,0.0,219.6259684,0.059,35.6545103,0.0568,-0.0147,80,54,-20,57,1.5,0.992,0.925,1.07,1.15,1N000,AAAB,15.0,0.0,51.42,51.593,32.5,32.712,969046003,0.283,2M
[6.81],1103.0,6.81,J143835.53+431454.2,219.6480442,43.2484088,0.0462,0.0451,115.6,Im,13.43,0.023,13.428,0.028,11.235,0.109,8.162,0.202,13.988,0.026,13.653,0.03,13.559,0.034,3818.463,302.551,2.205143901351011e+18,46.5,3.79,38.9,1.58,9.9,1.37,5.4,1.02,2.11,1.0,0.0,0.0,0.0,0.0,0.0,0000,1.0,11nn,42,42,42,42,9,26,2,26,0.0,219.6480435,0.0513,43.2484088,0.0511,-0.0105,-120,54,-7,57,3.79,1.58,1.37,1.02,2.11,1N000,AABB,15.0,0.0,42.067,42.438,26.984,27.074,582712921,0.654,2M
[0.588],1104.0,0.588,J143859.06+033547.5,219.7460849,3.5965285,0.0601,0.0575,5.0,Im,14.796,0.03,13.594,0.032,10.844,0.092,8.207,0.207,,,,,,,957.362,3534.369,2.1931030013510556e+18,36.5,0.988,34.0,1.02,11.8,0.89,5.2,0.986,0.979,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,110n,42,42,41,41,12,22,4,23,0.0,219.7460875,0.0708,3.5965279,0.0704,-0.0097,161,95,-40,100,0.982,1.02,0.891,0.986,0.977,2N000,AAAB,15.0,100.0,43.245,43.305,24.613,24.641,,,2M
[0.171],1105.0,0.171,J144223.87-171510.8,220.5994731,-17.2530155,0.0285,0.0277,143.1,Im,9.356,0.022,9.026,0.019,5.352,0.014,2.736,0.02,12.423,0.126,11.665,0.142,11.125,0.104,769.89,490.862,2.200016701351e+18,49.0,52.1,56.0,25.1,80.0,19.2,54.0,1.49,24.4,1.0,0.0,0.0,0.0,0.0,0.0,0000,5.0,2121,22,22,22,22,21,21,22,22,0.0,220.5994847,0.0287,-17.2529853,0.0287,-0.0048,196,33,517,33,51.9,25.2,19.0,1.41,24.3,1N000,AAAA,15.0,1111.0,22.877,22.764,22.995,23.6,1215216131,0.371,2M
[0.414],1106.0,0.414,J144231.72+011055.7,220.632181,1.1821641,0.634,0.5668,8.3,Im,17.756,0.193,16.984,,12.973,,9.322,,,,,,,,2595.043,1178.062,2.2081015013510175e+18,5.6,1.01,1.2,0.894,-0.5,1.01,-0.9,1.04,0.98,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,nnnn,2,36,0,36,0,25,0,25,0.0,220.6322197,0.6944,1.1821882,0.7691,0.113,1222,1613,800,1758,1.01,0.894,1.01,1.04,0.98,1N000,BUUU,1.0,100.0,36.183,36.033,25.972,25.817,,,2M
[0.14],1107.0,0.14,J144250.11+092001.5,220.7088304,9.333771,0.0588,0.0566,0.3,Im,14.663,0.028,14.011,0.036,10.369,0.058,7.816,0.163,16.165,0.129,15.743,,15.438,,1755.349,2695.007,2.2051090013510449e+18,39.0,0.919,30.3,0.954,18.7,1.06,6.7,0.982,0.964,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,000n,44,44,44,44,21,22,2,22,0.0,220.7088305,0.0778,9.3337702,0.0799,0.0145,2,98,-28,106,0.918,0.954,1.06,0.982,0.963,3N000,AAAB,15.0,0.0,43.864,44.012,21.949,21.779,890424536,0.087,2M
[3.703],1108.0,3.703,J144300.93+520139.3,220.7538815,52.0275904,0.0896,0.0812,20.6,Im,15.716,0.042,14.556,0.041,10.991,0.091,8.102,0.21,,,,,,,3611.15,3462.939,2.217151401351064e+18,26.1,1.52,26.3,1.08,12.0,1.22,5.2,2.06,1.35,2.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,110n,61,61,59,61,12,23,2,23,0.0,220.7538198,0.0849,52.0275658,0.0907,0.0222,-781,255,419,276,1.51,1.09,1.23,2.06,1.35,3Y018,AAAB,15.0,0.0,61.104,62.343,24.744,25.039,,,2M
[0.133],1109.0,0.133,J144340.70+585653.2,220.9195979,58.9481216,0.0636,0.0609,27.6,Im,15.011,0.029,14.514,0.04,10.744,0.071,8.668,0.221,16.907,0.136,16.144,,15.912,0.196,3183.345,1753.501,2.2171590013510346e+18,37.0,0.945,27.3,0.93,15.3,0.981,4.9,1.07,0.966,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,110n,54,54,52,54,22,29,2,29,0.0,220.9195993,0.1156,58.9481209,0.1151,-0.0452,91,229,-63,230,0.946,0.93,0.981,1.07,0.966,3N000,AAAB,15.0,0.0,54.697,54.397,30.729,31.154,587177015,0.212,2M
[0.339],1110.0,0.339,J144554.74+012903.5,221.478092,1.4843159,0.2326,0.2106,4.3,Im,16.767,0.087,15.696,0.114,12.539,0.412,9.03,,,,,,,,381.006,1969.364,2.2081015013510277e+18,12.5,1.04,9.5,0.898,2.6,0.888,0.2,0.935,0.943,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,0nnn,16,37,2,37,0,24,0,25,0.0,221.4780866,0.2494,1.4843523,0.2762,0.0225,-155,504,1098,566,1.04,0.896,0.888,0.935,0.942,1N000,ABCU,7.0,100.0,35.356,36.115,24.913,24.784,,,2M
