name,usrid,ra_pnt,dec_pnt,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b
2CXO J031702.7+421947,12, 03 17 12.10,+42 19 40.42,49.26158333333333,42.329994444444445,0.78,0.75,120.0,3.94,False,False,False,False,False,,,,,,,1.0288404230878395e-15,3.7810000599736717e-16,0.331,0.693,0.493,14.93,,,,,,,,,,0,2.74,7.931678875876198e-16,2.5213717123394762e-16,3.2963616923513577e-16,2.5054000144813896e-16,1.5095975890390212e-15,1.1405170402793524e-15,,-1.0,,,,0,2.6324016458617765e-15,1.1946223522984427e-15
2CXO J031720.6+422305,13, 03 17 12.10,+42 19 40.42,49.33604166666666,42.38478888888889,0.75,0.73,11.2,8.42,False,False,False,False,False,5.320182387257142e-15,7.637704328650148e-16,6.429e-16,4.451e-16,8.200062314460444e-16,1.9834395212307527e-16,3.857276155811097e-15,5.881249363655748e-16,0.876,0.763,0.106,14.97,,,,,,,,,,0,4.76,3.3150468195393935e-15,5.389480089846916e-16,6.648652626187773e-16,1.812969931731172e-16,7.260285398672766e-16,3.469752008512917e-16,1.3380614764674084,2.0,0.846,0.488,4.76,0,4.705940622025447e-15,6.661271246000802e-16
2CXO J031725.1+412303,14, 03 16 54.71,+41 21 18.13,49.35462499999999,41.384191666666666,0.72,0.72,54.0,6.49,False,False,False,False,False,4.778155471260487e-15,1.100182249341864e-15,1.0300689679964994e-15,7.782280650109112e-16,1.7618284674332905e-16,1.794368542684335e-16,3.571903656520659e-15,7.566799032130729e-16,0.976,0.968,0.71,12.98,,,,,,,,,,0,5.09,2.8007516802728308e-15,4.476331181522651e-16,2.9552452236977686e-16,1.5403116334803533e-16,1.0010314585303627e-15,5.349792755539498e-16,0.13821377410737395,1.0,0.976,0.29,5.09,0,4.097307661172971e-15,7.143555368451327e-16
2CXO J033848.2+095337,15, 03 38 39.63,+10 00 26.36,54.70104166666666,9.893875,0.9,0.78,13.4,2.83,False,False,False,False,False,,,,,1.7926109456863028e-16,1.3201145523453632e-16,9.193191538243212e-16,3.4480002630631633e-16,0.522,0.247,0.295,18.03,,,,,,,,,,0,2.11,1.0121524660319784e-15,3.42365455127022e-16,2.648151301528994e-16,1.243791830806605e-16,2.470250600245671e-15,1.866300611366213e-15,,0.0,,,0.0,0,3.7472181964305485e-15,1.9015157790652296e-15
2CXO J034310.6+010132,16, 03 43 14.18,+01 03 31.92,55.79416666666666,1.0257888888888889,0.72,0.71,2.6,11.93,False,False,False,False,False,1.1213882502128688e-13,1.0421677894303917e-14,2.5500000000000005e-14,6.99e-15,2.494e-14,4.22e-15,6.169882502128688e-14,6.476331533563034e-15,0.178,0.512,,9.71,9.305660381012989e-14,9.44261555010881e-15,4.090512300269189,0.5319746992952665,29.58034029018896,9.293275024622973,0.00010021025510497087,2.9401970100596776e-05,1.034,0,11.93,6.169882502128688e-14,6.476331533563034e-15,2.494e-14,4.22e-15,2.5500000000000005e-14,6.99e-15,,0.0,0.178,,11.93,0,1.1213882502128688e-13,1.0421677894303917e-14
2CXO J041442.5+053056,17, 04 14 39.75,+05 34 59.68,63.67737499999999,5.515627777777778,0.76,0.73,4.2,7.23,False,False,False,False,False,3.171172338470271e-15,5.495104011226458e-16,3.0465212692635183e-16,2.8863000070707966e-16,4.765202115439197e-16,1.7155000330458255e-16,2.3899999999999998e-15,4.3499999999999997e-16,0.971,0.996,1.0,11.3,,,,,,,,,,0,6.39,1.8582714639112503e-15,2.5983541313333677e-16,3.758363575909277e-16,1.1971171818602888e-16,3.5186383076486426e-16,3.1666000114576115e-16,,0.0,0.395,,6.39,0,2.5859716522670425e-15,4.267539029872562e-16
2CXO J041442.8+053316,18, 04 14 38.31,+05 34 10.24,63.67866666666666,5.554461111111111,0.96,0.94,33.2,2.0,False,False,False,False,False,,,3.3520938163053076e-16,3.0833578567703486e-16,,,8.114989422804014e-17,6.166500229830993e-17,,,0.318,11.31,,,,,,,,,,0,1.73,1.138462160465338e-16,5.287711667561734e-17,7.978845608028655e-18,6.028102749890869e-18,3.3520938163053076e-16,3.0833578567703486e-16,,-1.0,,,,2,4.570344432850932e-16,3.1289500510517017e-16
2CXO J043715.8-471508,19, 04 37 28.27,-47 12 03.11,69.31591666666667,-47.2524,0.71,0.71,0.0,113.03,True,False,False,False,False,6.10660634631759e-13,1.4642464773346645e-14,1.8157978845608028e-13,1.0950051771671044e-14,1.4279999999999998e-13,5.799999999999998e-15,2.862808461756788e-13,7.801162787458113e-15,0.901,0.949,1.0,1.72,5.559808461756789e-13,1.2400731463765379e-14,3.187989422804014,0.08451677055881165,15.351915382432113,1.7400521280594468,0.0003131574614729634,1.9004296028208748e-05,1.218,0,60.9,4.449962846853081e-13,5.334965982355012e-15,1.7742351262623322e-13,4.105526139995948e-15,1.230903881986731e-13,5.314477462669459e-15,36.37512079601155,2.0,0.901,1.0,60.9,0,7.455101855102144e-13,8.57676381978056e-15
2CXO J043741.6+505646,20, 04 36 48.60,+50 52 55.90,69.42333333333333,50.946216666666665,0.95,0.86,71.9,19.53,True,False,False,False,False,5.543414808074381e-13,3.209482999894938e-14,1.2582021154391973e-13,2.1050026931153235e-14,1.0970105771959857e-13,9.351515655598733e-15,3.1882021154391974e-13,2.2350025364689777e-14,1.0,1.0,,71.63,4.482372499290437e-13,2.8553355539843263e-14,3.676117497871312,0.27481393946855914,20.330751890873692,5.8983466036880925,0.00032974911458772186,5.9802409059519704e-05,1.211,0,19.53,3.1882021154391974e-13,2.2350025364689777e-14,1.0970105771959857e-13,9.351515655598733e-15,1.2582021154391973e-13,2.1050026931153235e-14,,0.0,1.0,,19.53,0,5.543414808074381e-13,3.209482999894938e-14
2CXO J043927.5+072447,21, 04 39 31.42,+07 24 32.36,69.86491666666666,7.413283333333334,0.77,0.75,74.3,4.19,False,False,False,False,False,3.5137492069356427e-15,7.69290879501282e-16,4.530811223180749e-16,4.381238736960675e-16,2.756680846175679e-16,1.7722000051181687e-16,2.7849999999999997e-15,6.07e-16,0.812,0.334,0.032,11.34,,,,,,,,,,0,4.19,2.464661118692043e-15,6.150075139790515e-16,3.3353201329979467e-16,1.9879231704647262e-16,7.397191538243211e-16,6.164000147151493e-16,,0.0,0.442,,4.19,0,3.5379122858161586e-15,8.931414253679171e-16
