_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[],31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.403],32.0,0.403,J110443.66-585425.6,166.1819302,-58.9071241,0.0158,0.0122,33.7,Im,7.195,0.012,6.459,0.009,6.772,0.015,7.23,0.11,9.436,0.027,8.75,0.031,8.584,0.023,3208.474,2449.527,1.6700591013510316e+18,89.6,999.0,123.0,3400.0,71.2,209.0,9.9,1.68,1240.0,1.0,0.0,0.055,0.0,0.0,0.0,pp00,1.0,nnn0,61.0,61.0,61.0,61.0,38.0,38.0,21.0,38.0,5000.0,166.1819362,0.0056,-58.9070616,0.0056,-0.001,-6962,20,-14757,20,694.0,2510.0,116.0,1.22,886.0,1N047,AAAB,15.0,0.0,58.895,63.404,40.506,41.36,826881311,0.355,2M
"[8.697, 9.486]",33.0,8.697,J110443.01-585139.7,166.179215,-58.8610361,0.1636,0.1197,96.7,Im,13.932,0.063,14.089,0.067,10.274,0.166,7.686,0.191,14.62,0.049,14.149,0.051,14.129,0.065,3213.697,2570.136,1.670059101351041e+18,17.1,3.78,16.3,1.94,6.5,0.753,5.7,1.13,2.13,2.0,1.0,0.0,0.0,0.0,0.002,0h00,1.0,nnnn,61.0,61.0,60.0,62.0,28.0,38.0,7.0,39.0,0.0,,,,,,,,,,,,,,,,AABB,15.0,0.0,62.562,62.404,39.487,39.518,826880818,0.983,2M
[0.248],34.0,0.248,J110444.66-584941.1,166.1860915,-58.8280908,0.0412,0.0396,138.8,Im,11.032,0.023,11.085,0.022,10.173,0.093,8.341,0.213,11.373,0.027,11.124,0.024,11.066,0.023,3205.489,2656.505,1.6700591013510392e+18,46.7,1.5,48.8,1.31,11.7,0.904,5.1,1.03,1.23,1.0,0.0,0.0,0.0,0.0,0.0,0h00,0.0,000n,60.0,60.0,60.0,60.0,38.0,38.0,3.0,38.0,0.0,166.1860915,0.0411,-58.8280912,0.0416,-0.0071,20,26,-20,26,1.5,1.31,0.904,1.03,1.23,2N000,AAAB,15.0,0.0,62.213,62.736,38.938,38.945,826880447,0.186,2M
[1.445],35.0,1.445,J110444.84-585008.5,166.1868666,-58.8357017,0.0502,0.0487,167.0,Im,11.888,0.028,11.931,0.026,9.972,0.074,7.788,0.121,12.097,0.03,12.041,0.032,11.93,0.032,3204.184,2636.593,1.6700591013510397e+18,38.2,1.25,41.4,1.19,14.6,1.32,8.9,1.18,1.23,2.0,0.0,0.0,0.0,0.0,0.001,0000,0.0,341n,59.0,59.0,59.0,59.0,37.0,37.0,5.0,38.0,0.0,166.1868605,0.049,-58.8357204,0.0504,-0.0056,14,30,85,30,1.26,1.22,1.33,1.18,1.25,2Y007,AAAB,15.0,0.0,63.456,63.817,38.94,38.963,826880531,0.28,2M
[4.84],36.0,4.84,J110444.82-584808.3,166.1867902,-58.8023172,0.0371,0.0344,140.4,Im,9.62,0.022,9.76,0.02,9.451,0.04,8.598,0.246,11.166,0.027,10.185,0.029,9.87,0.029,3205.402,2723.991,1.670059101351039e+18,48.5,3.01,54.7,2.44,27.0,0.865,4.4,0.908,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0h00,1.0,120n,63.0,63.0,63.0,63.0,41.0,41.0,2.0,41.0,0.0,166.1867882,0.0374,-58.8023175,0.0369,-0.0087,-51,24,20,24,3.0,2.43,0.865,0.908,2.0,3N000,AAAB,15.0,0.0,63.154,62.812,41.897,41.818,826880150,0.252,2M
"[7.5, 9.342]",37.0,7.5,J110447.87-584826.9,166.1994748,-58.807493,0.1568,0.1404,30.0,Im,12.425,0.256,12.647,0.048,11.845,,9.122,,13.392,0.03,12.76,0.03,12.607,0.033,3188.031,2710.659,1.6700591013510395e+18,4.2,0.753,22.4,1.62,0.5,0.777,0.4,1.02,1.07,3.0,1.0,0.0,0.0,0.0,0.0,0h00,0.0,nnnn,42.0,60.0,60.0,60.0,0.0,38.0,0.0,38.0,0.0,,,,,,,,,,,,,,,,BAUU,3.0,0.0,62.792,62.91,41.4,41.213,826880206,0.164,2M
[9.356],38.0,9.356,J110449.99-585558.5,166.2083085,-58.9329378,0.0361,0.0328,140.3,Im,10.182,0.021,10.26,0.019,9.566,0.052,7.817,0.142,10.794,0.024,10.555,0.024,10.436,0.021,3171.971,2382.399,1.6700591013510326e+18,50.7,14.9,57.4,7.95,20.7,1.26,7.6,1.05,7.31,1.0,0.0,0.0,0.0,0.0,0.0,hh00,1.0,220n,62.0,62.0,62.0,62.0,41.0,41.0,7.0,41.0,0.0,166.2083115,0.0354,-58.9329375,0.0374,-0.0129,46,24,31,24,14.9,7.95,1.26,1.05,7.31,3N000,AAAB,15.0,0.0,65.153,65.33,41.934,41.597,826881586,0.753,2M
[0.49],39.0,0.49,J110449.99-585558.5,166.2083085,-58.9329378,0.0361,0.0328,140.3,Im,10.182,0.021,10.26,0.019,9.566,0.052,7.817,0.142,10.794,0.024,10.555,0.024,10.436,0.021,3171.971,2382.399,1.6700591013510326e+18,50.7,14.9,57.4,7.95,20.7,1.26,7.6,1.05,7.31,1.0,0.0,0.0,0.0,0.0,0.0,hh00,1.0,220n,62.0,62.0,62.0,62.0,41.0,41.0,7.0,41.0,0.0,166.2083115,0.0354,-58.9329375,0.0374,-0.0129,46,24,31,24,14.9,7.95,1.26,1.05,7.31,3N000,AAAB,15.0,0.0,65.153,65.33,41.934,41.597,826881586,0.753,2M
[0.969],40.0,0.969,J110450.79-584544.4,166.2116457,-58.762355,0.0498,0.0481,145.4,Im,12.825,0.027,12.805,0.027,11.036,,9.067,0.383,14.099,0.059,13.468,0.044,13.239,0.056,3172.99,2829.034,1.67005910135104e+18,40.9,14.2,40.6,3.54,1.9,0.645,2.8,0.911,5.72,1.0,0.0,0.0,0.0,0.0,0.0,ddd0,1.0,20nn,57.0,57.0,57.0,57.0,1.0,37.0,0.0,37.0,0.0,166.2116423,0.0542,-58.7623551,0.0547,-0.0162,-186,40,-51,41,14.2,3.54,0.645,0.911,5.71,1N000,AAUC,11.0,0.0,59.182,58.746,38.723,38.685,826879671,0.779,2M
