_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.223, 7.61, 8.88]",32.0,0.223,166.181856,-58.907215,0.07,0.06,0.0,11044364-5854259,9.436,0.025,0.027,4446.6,8.75,0.027,0.031,3971.1,8.584,0.021,0.023,2617.1,AAA,212,111,000,566666,7.8,309.0,826881299.0,0.0,0.0,826881311.0,s,2000-02-04,73.0,289.523,1.158,104.7,2451578.7332,1.17,1.25,1.01,9.41,0.024,8.8,0.041,8.569,0.009,3949.0,148.0,sw,0.0,1.0,U,2.7,164,12.4,10.6,1.0,,45127.0,1037917.0,221.0,Opt
"[7.858, 8.985]",33.0,7.858,166.179261,-58.860764,0.07,0.06,0.0,11044302-5851387,14.62,0.047,0.049,37.5,14.149,0.05,0.051,27.5,14.129,0.064,0.065,15.8,AAA,222,111,000,665606,10.8,185.0,826880852.0,0.0,0.0,826880818.0,s,2000-02-04,73.0,289.503,1.2,109.7,2451578.7332,1.28,1.31,1.03,14.617,0.077,14.175,0.076,14.435,0.192,4116.0,143.0,sw,0.0,1.0,U,1.4,357,17.2,16.1,1.0,,45127.0,1037917.0,221.0,Opt
"[0.351, 5.018]",34.0,0.351,166.186122,-58.82814,0.07,0.06,0.0,11044466-5849413,11.373,0.025,0.027,746.8,11.124,0.022,0.024,446.0,11.066,0.021,0.023,266.1,AAA,222,111,000,666655,5.4,296.0,826880440.0,0.0,0.0,826880447.0,s,2000-02-04,73.0,289.493,1.232,97.0,2451578.7332,1.02,1.4,1.12,11.365,0.018,11.095,0.025,11.077,0.021,4234.0,156.0,sw,0.0,1.0,U,0.5,240,15.0,12.3,1.0,,45127.0,1037917.0,221.0,Opt
[1.414],35.0,1.414,166.186807,-58.835773,0.07,0.06,0.0,11044483-5850087,12.097,0.028,0.03,383.4,12.041,0.031,0.032,191.7,11.93,0.03,0.032,120.1,AAA,222,111,000,666666,12.0,100.0,826880541.0,0.0,0.0,826880531.0,s,2000-02-04,73.0,289.496,1.225,95.7,2451578.7332,1.07,1.18,1.24,12.093,0.012,12.057,0.015,11.947,0.02,4206.0,157.0,sw,0.0,1.0,U,0.1,70,15.4,13.6,1.0,,45127.0,1037917.0,221.0,Opt
"[1.96, 5.033]",36.0,1.96,166.188966,-58.801693,0.07,0.06,7.0,11044535-5848060,13.867,0.052,0.054,75.1,12.985,0.047,0.048,80.3,12.721,0.041,0.042,58.0,AAA,222,111,ccc,666666,4.9,240.0,826880150.0,0.0,0.0,826880141.0,s,2000-02-04,73.0,289.484,1.256,91.8,2451578.7332,0.63,0.78,0.99,12.692,0.068,11.818,0.192,11.172,0.103,4329.0,161.0,sw,0.0,1.0,U,3.7,57,18.2,14.8,1.0,,45127.0,1037917.0,221.0,Opt
"[0.277, 7.655, 9.459]",37.0,0.277,166.201863,-58.809261,0.07,0.06,7.0,11044844-5848333,14.8,0.055,0.056,31.8,14.111,0.071,0.072,28.5,13.932,0.065,0.066,19.0,AAA,222,111,000,666636,7.9,325.0,826880206.0,0.0,0.0,826880233.0,s,2000-02-04,73.0,289.493,1.252,67.7,2451578.7332,1.06,1.29,1.12,14.738,0.092,13.943,0.062,13.871,0.115,4301.0,185.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.78, 3.868, 8.657, 9.96]",38.0,0.78,166.208649,-58.930225,0.14,0.14,22.0,11045007-5855488,15.677,0.312,0.313,14.2,15.172,0.162,0.163,10.7,13.075,,,,ECU,220,110,cc0,566600,4.6,219.0,826881565.0,0.0,0.0,826881553.0,s,2000-02-04,73.0,289.544,1.143,54.8,2451578.7333,10.37,0.68,,14.476,0.067,13.749,0.148,,,3866.0,198.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.363, 7.082]",39.0,0.363,166.20856,-58.933102,0.07,0.06,0.0,11045005-5855591,10.794,0.021,0.024,1273.0,10.555,0.022,0.024,753.2,10.436,0.019,0.021,475.4,AAA,222,111,000,666666,7.3,338.0,826881565.0,0.0,0.0,826881586.0,s,2000-02-04,73.0,289.546,1.14,55.0,2451578.7333,0.63,0.59,0.62,10.779,0.011,10.543,0.039,10.456,0.015,3856.0,198.0,sw,0.0,1.0,U,0.1,72,13.2,12.1,1.0,,45127.0,1037917.0,221.0,Opt
[0.728],40.0,0.728,166.211943,-58.762203,0.07,0.06,7.0,11045086-5845439,14.099,0.058,0.059,60.7,13.468,0.043,0.044,51.5,13.239,0.055,0.056,36.0,AAA,222,111,ppp,444455,11.0,137.0,826879702.0,0.0,0.0,826879671.0,s,2000-02-04,73.0,289.479,1.297,49.0,2451578.7331,9.17,6.71,3.65,13.682,0.019,13.288,0.114,13.033,0.073,4471.0,204.0,sw,0.0,1.0,U,1.4,292,19.1,14.4,1.0,,45127.0,1037917.0,221.0,Opt
"[0.252, 5.823]",41.0,0.252,166.216299,-58.86322,0.07,0.06,0.0,11045191-5851475,12.344,0.021,0.024,305.4,11.907,0.021,0.023,216.8,11.804,0.021,0.023,134.8,AAA,222,111,000,666666,5.9,352.0,826880828.0,0.0,0.0,826880848.0,s,2000-02-04,73.0,289.521,1.206,40.7,2451578.7332,0.55,0.81,0.96,12.348,0.014,11.892,0.063,11.805,0.035,4107.0,212.0,sw,0.0,1.0,U,0.7,149,13.9,11.2,1.0,,45127.0,1037917.0,221.0,Opt
