name,usrid,ra_pnt,dec_pnt,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b
2CXO J084252.2-480503,79.0, 08 42 26.84,-48 07 04.72,130.71762499999997,-48.08432777777778,0.8,0.76,36.0,5.85,False,False,False,False,False,1.0472722226973578e-14,2.38029448933963e-15,6.172e-15,2.057e-15,3.63831846459504e-15,1.08816338864798e-15,6.624037623785389e-16,5.004530902959399e-16,0.515,0.73,0.947,,,,,,,,,,,0,4.42,6.722506554269917e-16,5.004149905837252e-16,2.9973752566002046e-15,7.669456620167734e-16,7.795231747820012e-15,1.942514641327326e-15,3.644762252126477,1.0,0.515,0.944,4.42,0,1.1464857659847209e-14,2.1475530128633113e-15
2CXO J084230.4-481108,80.0, 08 42 26.84,-48 07 04.72,130.62674999999996,-48.18571111111111,0.96,0.84,98.2,4.33,False,False,False,False,False,3.657629199907091e-15,1.391114615190292e-15,1.1331802718179441e-15,7.728648188138955e-16,1.432558519192562e-15,5.486500506300091e-16,1.0918904088965844e-15,1.0182646838516432e-15,0.942,0.78,0.35,,,,,,,,,,,0,3.26,1.2958219218178647e-15,1.042265746429158e-15,1.3680622460682845e-15,5.080417490607914e-16,1.2366014068746612e-15,7.768988755691868e-16,2.0224211777160415,1.0,0.942,0.845,3.26,0,3.900485574760811e-15,1.3957063329472088e-15
2CXO J084254.5-480630,81.0, 08 42 26.84,-48 07 04.72,130.72724999999997,-48.10836388888889,0.78,0.73,58.1,10.29,False,False,False,False,False,1.420415999315383e-13,3.541289868590747e-14,4.4027978845608025e-15,1.7425000325337812e-15,6.5499999999999995e-15,1.375e-15,1.310888020469775e-13,3.534326614752755e-14,1.0,0.994,1.0,,,,,,,,,,,0,7.52,1.2036033049019429e-13,2.425064598976342e-14,7.609682271133284e-15,1.195442474780028e-15,6.3549832242861006e-15,1.6536600592396206e-15,0.005749676479514625,1.0,1.0,0.06,7.52,0,1.3432499598561366e-13,2.43363412456117e-14
2CXO J084232.3-481108,82.0, 08 42 26.66,-48 07 04.90,130.6348333333333,-48.18572777777777,1.62,1.22,64.9,2.41,False,False,False,False,False,4.959421035013591e-15,2.464345917385179e-15,3.304039966284666e-16,2.496237348729809e-16,7.602191538243212e-16,4.079000222368668e-16,3.868797884560803e-15,2.417500023449892e-15,0.298,0.52,0.392,,,,,,,,,,,0,2.15,1.6279899155367426e-15,1.1084989900613254e-15,8.840952188286003e-16,4.199961000074656e-16,7.357825367855063e-16,4.188191004762673e-16,1.9027006116309213,1.0,0.298,0.832,2.15,0,3.247867671150849e-15,1.2572096777833875e-15
2CXO J084223.4-481114,83.0, 08 42 26.84,-48 07 04.72,130.59783333333328,-48.18743055555555,0.8,0.76,100.3,5.07,False,False,False,False,False,8.581168086420302e-15,2.1032359875011393e-15,2.678339618987011e-15,1.2681947343651791e-15,1.7596698094935054e-15,6.006027980852999e-16,4.143158657939785e-15,1.5667035500631358e-15,0.819,0.763,0.881,,,,,,,,,,,0,4.32,4.437097877456326e-15,1.6212642090288452e-15,1.4450649924665522e-15,5.296480413785302e-16,1.986241893830071e-15,8.841376360573972e-16,0.19557150286629427,1.0,0.819,0.342,4.32,0,7.86840476375295e-15,1.9211257227748534e-15
2CXO J084205.3-480918,84.0, 08 42 26.66,-48 07 04.90,130.52229166666663,-48.15503888888889,0.79,0.74,146.7,9.05,False,False,False,False,False,3.651119038952774e-14,4.718527627499876e-15,2.475202115439197e-14,4.1250013743055605e-15,7.005169235135771e-15,1.3902609947261154e-15,4.7539999999999995e-15,1.821e-15,1.0,1.0,1.0,,,,,,,,,,,0,9.05,2.212209120726103e-15,9.045728750425812e-16,1.0808544474003992e-15,4.3045431190363933e-16,2.5886122383812334e-15,9.630470939125938e-16,45.37799888810939,1.0,1.0,1.0,9.05,0,5.881675806507735e-15,1.3896052338677807e-15
2CXO J084225.9-481131,85.0, 08 42 26.84,-48 07 04.72,130.6079583333333,-48.19215277777777,0.79,0.76,119.5,5.5,False,False,False,False,False,1.3343754427061393e-14,3.1920059117393984e-15,4.0831480807438e-15,1.3452065131850198e-15,1.924797884560803e-15,5.945000953576271e-16,7.335808461756789e-15,2.8330003201700567e-15,1.0,1.0,0.087,,,,,,,,,,,0,4.49,5.1036120559427745e-15,2.272004267047732e-15,2.041213344093175e-15,6.339661415292376e-16,4.484895262368082e-15,1.349327864027957e-15,2.7398148611078867,1.0,1.0,0.902,4.49,0,1.1629720662404031e-14,2.7174624455051484e-15
2CXO J084221.8-481125,86.0, 08 42 26.66,-48 07 04.90,130.5909583333333,-48.190349999999995,1.62,0.91,87.1,2.1,False,False,False,False,False,2.325432760925046e-15,8.895450105400397e-16,9.896698094935055e-16,7.285847384264179e-16,9.067404230878394e-16,3.9420000575242147e-16,4.2902252834370075e-16,3.241310848616321e-16,0.298,0.611,0.715,,,,,,,,,,,0,2.1,1.2727279459235996e-15,7.027616064042937e-16,5.968060090394287e-16,3.3910215318942956e-16,1.2659166598991292e-15,6.302951284184975e-16,0.00546838139647959,1.0,0.298,0.059,2.1,0,3.1354506148621576e-15,1.0030633552481821e-15
2CXO J084202.0-480828,87.0, 08 42 26.66,-48 07 04.90,130.50841666666665,-48.14134166666667,1.28,1.15,150.3,2.16,False,False,False,False,False,3.617166451177642e-15,1.3230028735324332e-15,4.785711595695586e-16,3.6156560293845434e-16,1.7510740403718997e-15,7.215962449866614e-16,1.387521251236183e-15,1.0482870682060223e-15,0.986,0.998,,,,,,,,,,,,0,2.16,1.4745322825267395e-15,7.895302301598471e-16,8.146054711947256e-16,3.49216134681196e-16,5.773796535297815e-16,3.369134531039602e-16,0.017518770567766274,1.0,0.986,0.105,2.16,0,2.8665174072512465e-15,9.267257242250108e-16
2CXO J084245.1-480258,88.0, 08 42 26.84,-48 07 04.72,130.688,-48.04958333333333,1.61,0.84,13.6,3.19,False,False,False,False,False,6.847565990349947e-15,2.0537203461563164e-15,6.298e-15,2.028e-15,3.9724982769267965e-16,3.028872127097075e-16,1.5231616265726702e-16,1.150764814954167e-16,0.979,0.821,0.114,,,,,,,,,,,0,2.7,7.565700651082162e-16,4.3907079967814185e-16,4.81098446209464e-16,3.0794033423932304e-16,6.801803135721299e-15,2.0113111685828367e-15,0.06037810433221935,1.0,0.979,0.194,2.7,0,8.039471647038979e-15,2.081581858454643e-15
