_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[0.447],31.0,0.447,J084213.68-480555.3,130.5570188,-48.0986963,0.0422,0.0396,101.0,Im,11.444,0.022,11.486,0.023,11.545,0.216,8.14,0.218,,,,,,,1948.282,2999.733,1.3040485013510449e+18,49.5,19.8,47.3,6.22,5.0,0.802,5.0,1.17,9.38,2.0,0.0,0.0,0.0,0.0,0.0,ddDD,1.0,99nn,39,39,39,39,3,21,2.0,21.0,0.0,130.5570335,0.0422,-48.0987264,0.0398,-0.007,-410,39,255,41,19.5,6.02,0.802,1.17,9.22,3Y009,AABB,15.0,11.0,41.421,41.4,21.436,21.811,,,2M
[],32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.496],34.0,0.496,J084232.28-480925.2,130.6345103,-48.1570028,0.063,0.0605,10.5,Im,13.611,0.031,13.589,0.034,9.682,0.071,7.122,0.124,14.874,0.033,14.07,0.053,13.791,0.052,1813.051,2846.909,1.3040485013510446e+18,34.8,1.23,31.6,1.02,15.2,2.23,8.8,1.45,1.36,1.0,0.0,0.0,0.0,0.0,0.0,ddh0,0.0,1111,38,38,38,38,19,19,13.0,19.0,0.0,130.6345112,0.0611,-48.1570027,0.0634,-0.0157,27,78,6,82,1.23,1.02,2.23,1.45,1.36,1N000,AAAB,15.0,11.0,41.394,41.427,20.949,21.684,157282288,0.282,2M
[0.15],35.0,0.15,J084242.09-480516.9,130.6753933,-48.0880447,0.0376,0.0351,129.3,Im,10.229,0.023,10.253,0.02,10.281,0.066,8.936,,10.597,0.032,10.373,0.022,10.296,0.021,1741.235,3027.306,1.3040485013510428e+18,47.8,1.74,54.2,1.71,16.4,0.856,-1.0,0.921,1.44,1.0,0.0,0.0,0.0,0.0,0.0,PPh0,0.0,nn0n,40,40,40,40,19,20,0.0,20.0,0.0,130.6753941,0.0372,-48.0880431,0.0372,-0.0107,-31,32,-46,33,1.73,1.71,0.856,0.921,1.44,1N000,AAAU,7.0,11.0,39.656,39.695,20.107,20.479,157282846,0.058,2M
[3.033],36.0,3.033,J084230.11-480933.8,130.6254615,-48.1594044,0.0462,0.0447,123.2,Im,12.908,0.024,12.92,0.027,10.308,0.192,7.739,0.296,14.51,0.052,13.75,0.069,13.335,,1828.866,2840.648,1.3040485013510438e+18,45.7,4.85,40.8,1.41,5.7,1.04,3.7,0.828,2.41,1.0,0.0,0.0,0.0,0.0,0.0,ddh0,1.0,110n,40,40,40,40,15,20,2.0,20.0,0.0,130.6254615,0.1143,-48.1594046,0.0888,-0.053,64,128,-53,106,4.85,1.41,1.04,0.828,2.41,3N000,AABB,15.0,11.0,40.904,40.924,20.84,20.876,157282271,0.714,2M
[1.202],37.0,1.202,J084220.66-480918.9,130.5861187,-48.1552662,0.0456,0.0437,133.5,Im,12.882,0.024,12.924,0.024,11.923,,8.752,,14.147,0.044,13.364,0.054,13.197,0.044,1897.565,2851.578,1.304048501351044e+18,44.5,5.2,44.8,1.57,-3.0,0.569,-3.0,0.87,2.48,1.0,0.0,0.0,0.0,0.0,0.0,hhHH,1.0,11nn,40,40,40,40,0,20,0.0,20.0,0.0,130.5861164,0.0454,-48.1552654,0.0454,-0.0101,74,57,-37,60,5.2,1.57,0.569,0.869,2.48,1N000,AAUU,3.0,11.0,39.751,40.332,19.962,19.926,157282314,0.845,2M
[0.001],38.0,0.001,J084211.78-480632.9,130.5490837,-48.1091445,0.0386,0.0354,132.3,Im,10.027,0.023,10.047,0.021,10.656,0.114,9.211,,10.21,0.026,10.067,0.021,10.03,0.021,1962.175,2972.388,1.3040485013510436e+18,47.7,1.52,52.8,1.47,9.5,0.855,-4.5,0.964,1.29,1.0,0.0,0.0,0.0,0.0,0.0,hhHH,0.0,00nn,41,41,41,41,15,21,0.0,21.0,0.0,130.5490858,0.0373,-48.1091442,0.0372,-0.0109,-27,32,5,32,1.51,1.47,0.856,0.964,1.29,1N000,AABU,7.0,11.0,41.476,42.083,21.924,22.432,157282654,0.102,2M
[],39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.14],40.0,0.14,J084212.84-480513.6,130.5535028,-48.0871166,0.0422,0.0394,166.5,Im,11.568,0.025,11.648,0.021,12.205,,9.108,,12.619,0.026,11.967,0.021,11.779,0.019,1954.409,3030.054,1.304048501351044e+18,44.0,1.19,51.0,1.52,1.6,0.986,-0.6,1.04,1.23,2.0,1.0,0.0,0.0,0.0,0.0,ddDD,0.0,nnnn,39,39,39,39,1,21,0.0,21.0,0.0,130.5535001,0.0404,-48.087107,0.0441,0.0016,135,40,121,42,11.6,6.56,0.986,1.06,6.2,1N004,AAUU,3.0,11.0,39.525,40.65,21.782,21.924,157282857,0.066,2M
[0.721],41.0,0.721,J084214.96-480901.9,130.562367,-48.1505399,0.0684,0.0654,5.8,Im,13.887,0.031,13.955,0.043,12.73,,9.194,,15.115,0.07,14.37,0.092,14.158,0.073,1939.041,2863.992,1.3040485013510446e+18,35.6,1.74,25.1,1.38,-9.5,1.1,-3.1,0.889,1.37,1.0,0.0,0.0,0.0,0.0,0.0,hhHH,0.0,10nn,40,40,40,40,0,19,0.0,19.0,0.0,130.5623629,0.0696,-48.150541,0.0723,0.0116,75,103,34,112,1.73,1.38,1.11,0.888,1.37,1N000,AAUU,3.0,11.0,40.062,40.821,20.683,20.155,157282338,0.757,2M
[0.68],42.0,0.68,J084216.70-480918.6,130.5696152,-48.1551818,0.0531,0.052,153.1,Im,13.568,0.026,13.535,0.033,12.617,,9.041,,14.536,0.03,13.856,0.026,13.601,0.041,1926.391,2851.828,1.3040485013510444e+18,42.4,2.7,33.1,1.66,-7.4,1.06,-4.5,0.911,1.78,1.0,0.0,0.0,0.0,0.0,0.0,hhHH,0.0,11nn,39,40,40,40,0,19,0.0,19.0,0.0,130.5696078,0.0549,-48.1551863,0.0553,-0.0028,144,80,161,85,2.69,1.66,1.06,0.911,1.78,1N000,AAUU,3.0,11.0,39.581,40.697,20.222,20.355,157282311,0.268,2M
