_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[1.746, 6.602, 8.807]",100.0,1.746,168.138073,-60.72826,0.14,0.13,73.0,11123313-6043417,16.143,0.122,0.123,9.9,15.591,0.113,0.113,8.4,14.992,,,,BBU,220,110,cc0,060600,5.9,29.0,794113298.0,0.0,0.0,794113318.0,s,2000-01-23,101.0,291.133,-0.142,74.7,2451566.8236,1.0,1.39,,16.388,0.282,16.757,0.747,,,3161.0,178.0,nw,0.0,1.0,0,,,,,0.0,,43450.0,999331.0,44.0,Opt
"[4.399, 7.441, 9.174]",101.0,4.399,168.223609,-60.678799,0.06,0.06,90.0,11125366-6040436,15.107,0.064,0.065,25.7,14.337,0.063,0.063,26.6,14.043,0.061,0.061,17.8,AAA,222,111,000,564626,6.6,60.0,794112643.0,0.0,0.0,794112660.0,s,2000-01-23,101.0,291.153,-0.081,-76.0,2451566.8235,1.25,1.38,1.44,15.009,0.089,14.218,0.14,13.911,0.084,2982.0,176.0,ne,0.0,1.0,U,0.4,107,19.6,17.2,1.0,,43450.0,999331.0,44.0,Opt
"[0.926, 5.552, 8.475, 9.063]",102.0,0.926,168.053922,-60.754944,0.06,0.06,90.0,11121294-6045177,14.264,0.026,0.029,55.8,13.614,0.026,0.027,51.7,13.429,0.04,0.041,31.3,AAA,222,111,000,666666,6.1,218.0,794090288.0,0.0,0.0,794090300.0,s,2000-01-23,100.0,291.105,-0.182,-200.0,2451566.8219,0.73,0.99,0.83,14.446,0.054,13.842,0.053,13.708,0.03,3261.0,52.0,ne,1.0,1.0,U,0.6,4,18.1,17.1,1.0,,43449.0,999324.0,233.0,Opt
"[0.549, 3.683, 9.898]",103.0,0.549,167.683481,-60.599224,0.12,0.11,140.0,11104403-6035572,12.11,,,,11.94,,,,11.925,0.029,0.03,120.6,UUA,662,002,00c,000044,4.1,277.0,793975564.0,0.0,0.0,793975566.0,s,2000-01-23,99.0,290.878,-0.106,21.0,2451566.8138,,,0.74,,,,,11.827,0.027,2697.0,232.0,nw,0.0,1.0,U,0.6,90,14.2,12.2,1.0,,43448.0,999284.0,33.0,Opt
"[0.527, 4.212, 9.846]",104.0,0.527,167.698412,-60.567215,0.08,0.08,0.0,11104761-6034019,14.087,0.052,0.053,61.3,13.069,,,,12.856,0.047,0.048,51.2,AUA,262,202,c0c,660066,3.8,148.0,793975149.0,0.0,0.0,793975143.0,s,2000-01-23,99.0,290.873,-0.074,-5.3,2451566.8138,0.56,,0.89,13.828,0.035,,,12.653,0.059,2582.0,247.0,ne,0.0,1.0,U,2.3,327,17.8,15.6,1.0,,43448.0,999284.0,33.0,Opt
"[4.412, 5.225, 6.642, 6.729, 9.218, 9.96]",105.0,4.412,168.061603,-60.760273,0.06,0.06,90.0,11121478-6045369,13.806,0.076,0.077,85.1,12.956,0.055,0.056,94.7,12.653,0.04,0.041,63.9,AAA,222,111,cc0,666644,5.5,328.0,794090255.0,0.0,0.0,794113796.0,s,2000-01-23,101.0,291.11,-0.186,209.0,2451566.8236,1.44,0.96,0.83,13.57,0.026,12.811,0.029,12.532,0.047,3277.0,44.0,nw,1.0,1.0,0,,,,,0.0,,43450.0,999331.0,44.0,Opt
"[0.127, 5.829, 9.114]",106.0,0.127,168.100296,-60.753387,0.06,0.06,90.0,11122407-6045121,12.25,0.021,0.024,356.8,11.908,0.02,0.022,248.7,11.777,0.023,0.024,143.1,AAA,222,111,000,666666,5.9,120.0,794113701.0,0.0,0.0,794113693.0,s,2000-01-23,101.0,291.125,-0.172,141.0,2451566.8236,0.57,0.41,0.99,12.288,0.012,11.961,0.044,11.847,0.037,3252.0,112.0,nw,0.0,1.0,U,0.2,43,13.8,14.2,1.0,,43450.0,999331.0,44.0,Opt
"[0.421, 9.303]",107.0,0.421,168.055871,-60.761856,0.06,0.06,90.0,11121340-6045426,13.32,0.05,0.051,133.2,12.987,0.055,0.056,92.1,12.901,0.046,0.047,50.8,AAA,222,111,c00,666666,9.6,265.0,794113824.0,0.0,0.0,794090219.0,s,2000-01-23,100.0,291.108,-0.188,-203.4,2451566.8219,0.76,0.66,0.76,13.249,0.033,12.974,0.042,12.888,0.069,3286.0,49.0,ne,1.0,1.0,0,,,,,0.0,,43449.0,999324.0,233.0,Opt
"[0.136, 7.036, 9.432]",108.0,0.136,168.119007,-60.760319,0.06,0.06,90.0,11122856-6045371,13.819,0.025,0.027,84.1,13.281,0.026,0.027,70.2,13.168,0.035,0.036,39.7,AAA,222,111,000,666666,7.0,70.0,794113789.0,0.0,0.0,794113797.0,s,2000-01-23,101.0,291.136,-0.175,108.1,2451566.8236,1.0,0.81,0.92,13.878,0.033,13.44,0.062,13.282,0.058,3277.0,145.0,nw,0.0,1.0,U,0.1,215,17.4,16.6,1.0,,43450.0,999331.0,44.0,Opt
"[3.795, 5.157, 9.512]",109.0,3.795,168.063691,-60.773918,0.06,0.06,90.0,11121528-6046261,10.351,0.025,0.027,2051.3,10.293,0.02,0.022,1100.8,10.333,0.021,0.023,541.0,AAA,222,111,000,666666,6.5,136.0,794114005.0,0.0,0.0,794113988.0,s,2000-01-23,101.0,291.116,-0.198,205.3,2451566.8236,0.91,0.95,1.2,10.37,0.011,10.332,0.036,10.333,0.012,3326.0,48.0,nw,1.0,1.0,T,0.1,325,11.07,11.2,2.0,,43450.0,999331.0,44.0,Opt
