_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
"[3.605, 4.95, 9.101]",101.0,3.605,1680m606o0113718,168.2264178,-60.6805455,888.724,888.949,880.166,880.053,780.97,843.15,0.026,0.067,0.025,0.065,11.374,29.71,1.0,1.0,58.87,10.23,0.3354,0.3257,797.92,851.05,11.642,30.544,2.6413,2.857,0.00625312,0.00889087,0.000530726,0.001373,-88.672,-78.265,168.2264178,168.2265933,-60.6805455,-60.6803736,1680m606,1680m606w1o0133918,1680m606w2o0133461,209.0,212.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.395, 4.431]",102.0,1.395,1680m606o0073973,168.0546268,-60.754933,791.574,791.305,990.367,990.938,2977.8,4133.9,0.008,0.015,0.007,0.014,14.47,34.837,0.99993,1.0,570.1,29.6,0.6068,0.7272,3266.0,4252.4,14.83,35.902,2.6452,2.8589,-0.00703788,0.00147402,0.000206721,0.00035,-101.57,-101.84,168.0546268,168.0537341,-60.754933,-60.7551393,1680m606,1680m606w1o0082722,1680m606w2o0066150,221.0,221.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
"[0.332, 9.388]",103.0,0.332,1680m606o0021895,167.6833343,-60.5992047,994.952,994.98,1228.818,1228.848,20048.0,19438.0,0.002,0.004,0.002,0.004,26.03,54.648,1.0,1.0,190.4,40.44,0.8616,0.8474,20126.0,19622.0,26.484,55.854,2.64,2.8574,0.00341815,0.00263834,6.48212e-05,0.00013,-99.481,-120.3,167.6833343,167.683289,-60.5992047,-60.5991828,1680m606,1680m606w1o0023495,1680m606w2o0018406,225.0,219.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.152, 7.418, 8.956]",104.0,1.152,1680m606o0023020,167.6985849,-60.5673923,1036.643,1036.749,1219.21,1219.256,12873.0,17940.0,0.002,0.004,0.002,0.004,21.394,52.3,1.0,1.0,184.4,29.39,0.9107,0.9263,12758.0,17705.0,21.789,53.439,2.6424,2.8598,0.00311917,0.0018546,8.05108e-05,0.000136,-73.124,-80.406,167.6985849,167.6985141,-60.5673923,-60.5673114,1680m606,1680m606w1o0024638,1680m606w2o0019402,233.0,221.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[3.623, 4.743, 7.525]",105.0,3.623,1680m606o0073818,168.0617742,-60.7600674,784.849,784.814,985.802,985.781,12419.0,12199.0,0.003,0.008,0.003,0.007,25.232,55.06,0.99063,0.99373,231.2,31.51,0.479,0.4238,12533.0,12157.0,25.604,56.092,2.6407,2.8589,0.00253511,0.00230414,8.68797e-05,0.000189,-86.859,-81.593,168.0617742,168.061807,-60.7600674,-60.7600944,1680m606,1680m606w1o0082535,1680m606w2o0066003,237.0,223.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
[0.16],106.0,0.16,1680m606o0016606,168.1003316,-60.7534622,793.466,793.476,961.133,961.109,20210.0,19035.0,0.002,0.004,0.002,0.004,25.652,53.932,1.0,1.0,129.7,29.93,0.9196,0.9071,20514.0,19343.0,26.143,55.19,2.6418,2.86,0.00109887,0.000626683,6.61569e-05,0.000133,-104.71,-99.62,168.1003316,168.1003697,-60.7534622,-60.7534548,1680m606,1680m606w1o0018093,1680m606w2o0013854,233.0,230.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.58, 8.229, 9.19, 9.523]",107.0,0.58,1680m606o0053145,168.0559988,-60.7620183,782.298,782.267,989.497,989.545,8013.8,7425.0,0.004,0.011,0.004,0.011,21.457,46.767,0.99738,0.99905,146.9,17.86,0.4565,0.3975,8155.6,7506.9,21.792,47.663,2.645,2.8614,0.00214028,0.00194675,0.000109304,0.000252,-91.437,-86.428,168.0559988,168.0559228,-60.7620183,-60.7620418,1680m606,1680m606w1o0056303,1680m606w2o0065930,231.0,221.0,1.0,1.0,34.0,32.0,0.0,0.0,1.0
"[0.256, 7.498, 8.802]",108.0,0.256,1680m606o0053159,168.1191834,-60.7603688,784.405,784.376,949.092,949.026,5517.9,5608.2,0.004,0.011,0.004,0.011,16.08,37.404,1.0,1.0,69.67,15.74,0.8298,0.8122,5694.0,5775.4,16.404,38.325,2.6413,2.8594,-0.000944138,0.000626922,0.000129452,0.000281,-100.61,-89.04,168.1191834,168.1192871,-60.7603688,-60.7603909,1680m606,1680m606w1o0056318,1680m606w2o0045854,228.0,227.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[3.88],109.0,3.88,1680m606o0053047,168.0636505,-60.7739462,766.679,766.701,984.619,984.611,73124.0,68364.0,0.001,0.002,0.001,0.002,47.337,95.393,1.0,1.0,282.0,42.8,0.8947,0.8687,73532.0,68647.0,47.979,96.89,2.6445,2.8614,-0.000129044,-0.000315547,3.51097e-05,6.9e-05,-83.52,-56.014,168.0636505,168.0636628,-60.7739462,-60.7739292,1680m606,1680m606w1o0056200,1680m606w2o0045771,232.0,230.0,1.0,1.0,32.0,32.0,160.0,160.0,1.0
[3.005],110.0,3.005,1680m606o0017100,168.1991812,-60.7379942,813.574,813.578,897.85,897.847,527930.0,512820.0,0.0,0.001,0.0,0.001,112.92,224.41,1.0,1.0,1208.0,232.4,0.9982,0.9983,530010.0,514230.0,115.69,229.38,2.6419,2.8602,0.000211477,-0.000355899,1.39357e-05,2.5e-05,-122.64,-137.83,168.1991812,168.199186,-60.7379942,-60.7379914,1680m606,1680m606w1o0018600,1680m606w2o0014266,207.0,212.0,1.0,1.0,1.0,1.0,8.0,8.0,1.0
[0.706],111.0,0.706,1680m606o0074143,168.1826024,-60.7499688,797.928,797.984,908.502,908.466,3385.8,3082.1,0.009,0.023,0.008,0.022,16.809,38.522,1.0,1.0,152.5,18.25,0.2771,0.2224,3586.1,3405.4,17.067,39.298,2.6437,2.86,0.00339478,0.00114971,0.000193917,0.000482,-111.08,-123.16,168.1826024,168.1826579,-60.7499688,-60.7499261,1680m606,1680m606w1o0082915,1680m606w2o0107752,217.0,215.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.357, 7.036, 8.657, 8.941, 9.145]",112.0,0.357,1680m606o0018263,167.6738639,-60.703312,858.637,858.639,1234.223,1234.215,7414.6,7685.3,0.004,0.009,0.003,0.009,17.953,41.173,1.0,1.0,65.75,18.45,0.768,0.721,7414.9,7679.9,18.27,42.088,2.6427,2.8604,0.00304234,0.00303042,0.000105015,0.000223,-107.33,-118.31,167.6738639,167.6738762,-60.703312,-60.7033103,1680m606,1680m606w1o0019786,1680m606w2o0015244,225.0,214.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.964, 1.886]",113.0,0.964,1680m606o0015672,168.0721182,-60.7820357,756.084,756.449,979.217,979.128,30420.0,47644.0,0.002,0.002,0.001,0.002,36.521,78.31,1.0,1.0,244.7,95.12,0.6377,0.9629,30737.0,48069.0,37.116,79.851,2.6406,2.86,0.000403047,0.0027256,6.57218e-05,8.2e-05,-55.669,3.4872,168.0721182,168.0722583,-60.7820357,-60.7817567,1680m606,1680m606w1o0017120,1680m606w2o0013055,226.0,224.0,1.0,1.0,0.0,0.0,160.0,160.0,1.0
"[0.954, 5.44, 8.983]",114.0,0.954,1680m606o0052972,168.0992183,-60.7848317,752.402,752.62,961.905,961.796,6613.8,7235.6,0.004,0.01,0.004,0.01,17.937,42.1,1.0,1.0,303.2,74.89,0.7968,0.8276,6774.0,7441.1,18.268,43.058,2.6414,2.8605,0.00476664,0.00672197,0.00011625,0.000243,-40.177,20.345,168.0992183,168.0993888,-60.7848317,-60.784665,1680m606,1680m606w1o0056115,1680m606w2o0045695,225.0,228.0,1.0,1.0,0.0,0.0,160.0,160.0,1.0
