#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
01522_002,2516,ens0042100_001,acisf01522_002N020_b0996_h_ecf90_prep3.fits,8.27E-14,6.30E-15,8.25E-14,7.66E-14,8.97E-14,0.9998
15546_000,37,ens0042100_001,acisf15546_000N020_b0016_h_ecf90_prep3.fits,8.95E-14,1.12E-14,8.17E-14,6.97E-14,9.36E-14,1.0024
03498_000,3286,ens0042100_001,acisf03498_000N020_b1035_h_ecf90_prep3.fits,8.29E-14,5.88E-15,8.16E-14,7.62E-14,8.87E-14,0.9997
13637_000,257,ens0042100_001,acisf13637_000N020_b0175_h_ecf90_prep3.fits,8.09E-14,7.63E-15,8.11E-14,7.26E-14,8.95E-14,1.0014
15546_000,642,ens0042100_001,acisf15546_000N020_b0362_h_ecf90_prep3.fits,7.87E-14,9.18E-15,7.91E-14,6.95E-14,8.90E-14,0.9991
14334_000,978,ens0042100_001,acisf14334_000N020_b0533_h_ecf90_prep3.fits,7.76E-14,1.31E-14,7.81E-14,6.40E-14,9.27E-14,1.0049
14334_000,642,ens0042100_001,acisf14334_000N020_b0362_h_ecf90_prep3.fits,7.67E-14,1.27E-14,7.70E-14,6.26E-14,9.21E-14,1.0002
03498_000,2516,ens0042100_001,acisf03498_000N020_b0996_h_ecf90_prep3.fits,7.43E-14,4.53E-15,7.40E-14,6.88E-14,7.93E-14,0.9993
01522_002,2657,ens0042100_001,acisf01522_002N020_b1069_h_ecf90_prep3.fits,7.24E-14,5.86E-15,7.23E-14,6.57E-14,7.95E-14,1.0002
15546_000,2620,ens0042100_001,acisf15546_000N020_b1053_h_ecf90_prep3.fits,6.90E-14,8.46E-15,6.99E-14,6.10E-14,7.88E-14,0.9998
14335_000,2620,ens0042100_001,acisf14335_000N020_b1053_h_ecf90_prep3.fits,6.71E-14,6.67E-15,6.66E-14,5.94E-14,7.44E-14,0.9998
