#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
03744_000,3190,ens0042100_001,acisf03744_000N020_b1225_s_ecf90_prep3.fits,0.00E+00,7.25E-19,1.95E-17,1.00E-19,4.80E-17,0.9993
04374_000,3280,ens0042100_001,acisf04374_000N020_b1250_s_ecf90_prep3.fits,0.00E+00,1.76E-18,1.96E-17,2.17E-21,4.65E-17,1.0011
04396_000,3286,ens0042100_001,acisf04396_000N020_b1035_s_ecf90_prep3.fits,0.00E+00,1.83E-18,1.96E-17,8.43E-21,4.67E-17,1.0007
04373_000,1463,ens0042100_001,acisf04373_000N020_b0706_s_ecf90_prep3.fits,0.00E+00,1.73E-18,1.96E-17,1.64E-20,4.44E-17,1.0013
03744_000,3146,ens0042100_001,acisf03744_000N020_b1212_s_ecf90_prep3.fits,0.00E+00,9.97E-19,1.96E-17,5.72E-20,4.81E-17,0.9996
04374_000,2864,ens0042100_001,acisf04374_000N020_b1132_s_ecf90_prep3.fits,0.00E+00,4.95E-19,1.96E-17,8.50E-20,4.73E-17,1.0031
04396_000,509,ens0042100_001,acisf04396_000N020_b0317_s_ecf90_prep3.fits,0.00E+00,1.30E-18,1.96E-17,9.52E-20,4.61E-17,0.9992
04396_000,3206,ens0042100_001,acisf04396_000N020_b1227_s_ecf90_prep3.fits,0.00E+00,1.08E-18,1.96E-17,9.82E-20,4.72E-17,0.9994
04373_000,2353,ens0042100_001,acisf04373_000N020_b0940_s_ecf90_prep3.fits,0.00E+00,6.38E-19,1.97E-17,8.40E-21,4.82E-17,1.0031
04373_000,3258,ens0042100_001,acisf04373_000N020_b1240_s_ecf90_prep3.fits,0.00E+00,6.43E-19,1.97E-17,1.53E-20,4.44E-17,1.0001
03744_000,2670,ens0042100_001,acisf03744_000N020_b1084_s_ecf90_prep3.fits,0.00E+00,1.03E-18,1.97E-17,3.51E-20,4.85E-17,0.999
03744_000,145,ens0042100_001,acisf03744_000N020_b0089_s_ecf90_prep3.fits,0.00E+00,1.13E-18,1.97E-17,7.00E-20,4.82E-17,1.0009
04374_000,3123,ens0042100_001,acisf04374_000N020_b1201_s_ecf90_prep3.fits,0.00E+00,1.26E-18,1.97E-17,1.16E-19,4.60E-17,0.9998
03744_000,3288,ens0042100_001,acisf03744_000N020_b1255_s_ecf90_prep3.fits,0.00E+00,1.50E-18,1.97E-17,1.90E-19,4.69E-17,0.9992
04396_000,3190,ens0042100_001,acisf04396_000N020_b1225_s_ecf90_prep3.fits,0.00E+00,6.78E-19,1.98E-17,4.72E-22,4.81E-17,0.9996
04373_000,3115,ens0042100_001,acisf04373_000N020_b0989_s_ecf90_prep3.fits,0.00E+00,2.52E-18,1.98E-17,6.43E-21,4.79E-17,1.003
04373_000,3104,ens0042100_001,acisf04373_000N020_b1190_s_ecf90_prep3.fits,0.00E+00,1.02E-18,1.98E-17,2.26E-20,5.01E-17,1.0009
04396_000,3104,ens0042100_001,acisf04396_000N020_b1190_s_ecf90_prep3.fits,0.00E+00,1.19E-18,1.98E-17,3.03E-20,5.17E-17,1.0014
04374_000,3261,ens0042100_001,acisf04374_000N020_b1241_s_ecf90_prep3.fits,0.00E+00,9.66E-19,1.98E-17,3.25E-20,4.77E-17,1.0012
04396_000,3126,ens0042100_001,acisf04396_000N020_b1202_s_ecf90_prep3.fits,0.00E+00,1.24E-18,1.98E-17,3.39E-20,4.64E-17,0.9993
04374_000,2385,ens0042100_001,acisf04374_000N020_b0948_s_ecf90_prep3.fits,0.00E+00,1.41E-18,1.98E-17,5.11E-20,4.82E-17,0.9995
