#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
13637_000,891,ens0042100_001,acisf13637_000N020_b0494_m_ecf90_prep3.fits,1.58E-14,1.90E-15,1.58E-14,1.38E-14,1.80E-14,1.0002
14334_000,426,ens0042100_001,acisf14334_000N020_b0277_m_ecf90_prep3.fits,1.54E-14,3.30E-15,1.52E-14,1.17E-14,1.94E-14,1.0027
15546_000,1676,ens0042100_001,acisf15546_000N020_b0775_m_ecf90_prep3.fits,1.45E-14,2.27E-15,1.45E-14,1.20E-14,1.70E-14,0.9995
14335_000,114,ens0042100_001,acisf14335_000N020_b0070_m_ecf90_prep3.fits,1.39E-14,1.84E-15,1.40E-14,1.22E-14,1.59E-14,1.0007
14335_000,426,ens0042100_001,acisf14335_000N020_b0277_m_ecf90_prep3.fits,1.40E-14,1.77E-15,1.39E-14,1.21E-14,1.60E-14,0.9999
12953_000,106,ens0019300_001,acisf12953_000N020_b0058_m_ecf90_prep3.fits,1.38E-14,1.52E-15,1.38E-14,1.22E-14,1.54E-14,0.9993
15546_000,376,ens0042100_001,acisf15546_000N020_b0265_m_ecf90_prep3.fits,1.39E-14,2.28E-15,1.37E-14,1.15E-14,1.66E-14,0.9994
14335_000,1019,ens0042100_001,acisf14335_000N020_b0560_m_ecf90_prep3.fits,1.38E-14,1.87E-15,1.37E-14,1.18E-14,1.60E-14,1.002
01522_002,2588,ens0042100_001,acisf01522_002N020_b1036_m_ecf90_prep3.fits,1.33E-14,1.47E-15,1.34E-14,1.18E-14,1.50E-14,1.0064
04373_000,855,ens0042100_001,acisf04373_000N020_b0476_m_ecf90_prep3.fits,1.32E-14,7.21E-16,1.32E-14,1.25E-14,1.40E-14,0.9994
05654_001,4,ens0214500_001,acisf05654_001N020_b0003_m_ecf90_prep3.fits,1.30E-14,2.65E-15,1.28E-14,1.02E-14,1.57E-14,0.9993
13637_000,1651,ens0042100_001,acisf13637_000N020_b0630_m_ecf90_prep3.fits,1.24E-14,1.82E-15,1.24E-14,1.07E-14,1.43E-14,0.9996
14335_000,951,ens0042100_001,acisf14335_000N020_b0518_m_ecf90_prep3.fits,1.18E-14,1.91E-15,1.20E-14,9.88E-15,1.40E-14,1.0064
14335_000,376,ens0042100_001,acisf14335_000N020_b0265_m_ecf90_prep3.fits,1.16E-14,1.73E-15,1.17E-14,9.91E-15,1.35E-14,1.0001
14335_000,2588,ens0042100_001,acisf14335_000N020_b1036_m_ecf90_prep3.fits,1.15E-14,1.70E-15,1.16E-14,9.68E-15,1.37E-14,0.9997
13637_000,726,ens0042100_001,acisf13637_000N020_b0409_m_ecf90_prep3.fits,1.15E-14,1.56E-15,1.15E-14,9.82E-15,1.32E-14,1.0016
01522_002,970,ens0042100_001,acisf01522_002N020_b0530_m_ecf90_prep3.fits,1.12E-14,1.32E-15,1.15E-14,9.86E-15,1.29E-14,0.9992
13637_000,855,ens0042100_001,acisf13637_000N020_b0476_m_ecf90_prep3.fits,1.14E-14,1.70E-15,1.12E-14,9.40E-15,1.32E-14,1.0006
14335_000,1602,ens0042100_001,acisf14335_000N020_b0586_m_ecf90_prep3.fits,9.70E-15,1.75E-15,9.84E-15,7.97E-15,1.19E-14,1.0013
01522_002,872,ens0042100_001,acisf01522_002N020_b0485_m_ecf90_prep3.fits,9.05E-15,1.17E-15,9.21E-15,7.96E-15,1.04E-14,1.0003
14335_000,779,ens0042100_001,acisf14335_000N020_b0433_m_ecf90_prep3.fits,8.84E-15,1.46E-15,8.98E-15,7.43E-15,1.05E-14,1.0005
