CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref,HESS_name
2CXO J192228.8+140838,290.6203242,14.1439139,0.94,3.11,8e-18,6e-18,1e-15,6e-16,7e-15,2e-15,8e-15,3e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.0,0.1,0.0,0.0,0.1,0.7,0.04,0.09,0.02,0.2,0.001,0.004,0.1,0.3,0.05,NS,0.7,0.3,1.43,,,,,J1923+141
2CXO J192223.2+135803,290.5968621,13.9675089,1.4,4.78,3.2e-15,1e-15,2.5e-15,9e-16,2e-15,2e-15,8e-15,2e-15,0.096,,14.276,0.003,15.816,0.007,13.048,0.005,11.03,0.02,10.05,0.03,9.77,0.02,9.55,0.03,9.67,0.03,7.45,,0.49,0.02,4.854,1850.0,1791.0,1921.0,0.0,0.02,0.17,0.01,0.09,0.001,0.0,0.7,0.0005,0.02,0.09,0.02,0.05,0.004,0.003,0.1,YSO,0.7,0.1,2.847,,,,,J1923+141
2CXO J192230.2+140755,290.6262292,14.1321304,0.78,6.58,8e-18,6e-18,6e-15,1e-15,1.7e-14,3e-15,2.2e-14,4e-15,,,16.177,0.003,19.6,0.03,14.575,0.004,10.78,0.03,9.53,0.03,8.83,0.03,8.22,0.02,7.95,0.03,6.46,,0.1,0.1,6.151,4540.0,3551.0,6430.0,0.001,0.001,0.14,0.02,0.02,0.001,0.0,0.81,0.006,0.004,0.08,0.02,0.02,0.004,0.002,0.09,YSO,0.81,0.09,3.998,,,,,J1923+141
2CXO J192228.6+140456,290.6192228,14.0824409,0.74,3.82,8e-18,6e-18,2.6e-15,8e-16,3e-15,1e-15,5e-15,2e-15,,,16.889,0.005,20.66,0.09,14.912,0.005,10.97,0.02,9.67,0.03,9.01,0.02,8.56,0.02,8.31,0.01,,,-1.6,0.6,6.528,4047.0,2704.0,5921.0,0.001,0.002,0.15,0.01,0.03,0.001,0.0,0.8,0.004,0.006,0.09,0.02,0.03,0.003,0.002,0.1,YSO,0.8,0.1,3.376,,,,,J1923+141
2CXO J192228.1+140204,290.6174829,14.0346453,0.77,4.89,8e-18,6e-18,1.5e-15,7e-16,2e-14,5e-15,2.2e-14,5e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.1,0.0,0.0,0.1,0.7,0.02,0.1,0.01,0.1,0.002,0.001,0.1,0.2,0.04,NS,0.7,0.2,1.556,,,,,J1923+141
2CXO J192229.5+140133,290.6230865,14.0258576,0.85,4.63,8e-18,6e-18,8e-16,5e-16,2e-14,5e-15,2.1e-14,5e-15,,,,,,,,,14.38,0.05,12.38,0.04,11.15,0.03,10.1845,0.0009,9.719,0.001,,,,,,,,,0.03,0.01,0.15,0.02,0.01,0.0,0.002,0.8,0.05,0.01,0.09,0.03,0.02,0.002,0.005,0.1,YSO,0.8,0.1,2.921,,,,,J1923+141
2CXO J192236.8+141127,290.653367,14.1909616,1.58,4.97,1.1e-15,9e-16,8e-18,6e-18,2.7e-14,5e-15,2.8e-14,5e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.001,0.01,0.01,0.001,0.7,0.2,0.04,0.05,0.005,0.02,0.01,0.003,0.2,0.1,0.03,LMXB,0.7,0.2,1.638,,,,,J1923+141
2CXO J192230.9+140328,290.6287581,14.0579753,0.73,7.54,8e-18,6e-18,5e-15,1e-15,2.7e-14,4e-15,3.2e-14,5e-15,,,16.279,0.006,20.87,0.08,14.57,0.01,10.09,0.03,8.48,0.03,7.6,0.02,6.0,0.03,5.81,0.02,2.17,0.06,-0.2,0.2,5.9,5927.0,4164.0,8469.0,0.004,0.003,0.16,0.03,0.02,0.001,0.0,0.79,0.008,0.007,0.07,0.02,0.02,0.004,0.002,0.07,YSO,0.79,0.07,4.421,,,,,J1923+141
2CXO J192237.7+141216,290.657152,14.2044485,1.25,7.21,2e-15,6e-16,3.4e-15,8e-16,4e-15,2e-15,1e-14,2e-15,0.988,1.0,16.27,0.003,17.624,0.007,15.117,0.008,13.28,0.03,12.45,0.03,12.15,0.03,12.1,0.2,12.2,0.4,,,0.45,0.05,4.542,2094.0,1867.0,2316.0,0.0,0.04,0.11,0.01,0.04,0.01,0.0,0.8,0.0003,0.05,0.07,0.01,0.04,0.01,0.002,0.1,YSO,0.8,0.1,3.853,,,,,J1923+141
2CXO J192230.5+140158,290.627126,14.032792,0.85,3.7,3e-16,3e-16,3e-16,3e-16,1.4e-14,4e-15,1.4e-14,4e-15,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.03,0.001,0.001,0.2,0.7,0.02,0.06,0.02,0.05,0.004,0.004,0.2,0.2,0.03,NS,0.7,0.2,0.96,,,,,J1923+141
