name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_LMXB,P_NS,e_P_LMXB,e_P_NS,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J174757.0-244615,0.8979568788501027,0.0055338809034907,0.0004568788501026,0.0,0.0003901437371663,0.009111909650924,0.0982060787544669,0.0094544063002072,0.0024036818520218,0.0,0.0026146369130194,0.0123750404339991,0.044433607118412,0.0421167008898015,0.0661752294894673,0.0669325373475619,AGN,0.8979568788501027,0.0982060787544669,1.0,266.98770833333333,-24.771025,0.73,9.97,2.439925871066752e-15,0.6684406320788137,1.0,0.969,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174750.4-245034,0.0010164271047227,0.0224845995893223,0.3110010266940451,0.0028439425051334,0.1952772073921971,0.418465092402464,0.0032208431492882,0.0176754824938785,0.0694128139833759,0.0057008572281225,0.0592993967272339,0.0814528300822551,0.0485728952772073,0.0003388090349075,0.0303307618181948,0.0019731478542569,YSO,0.418465092402464,0.0814528300822551,0.0,266.96004166666665,-24.842825,1.02,9.42,3.1301315805928585e-15,-0.6273986903329304,0.972,0.992,14.895634,13.141,,6,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174759.0-244610,0.0002361396303901,0.0282546201232032,0.1587371663244353,0.0014784394250513,0.0967043121149897,0.7137371663244354,0.0015854191365862,0.0270782212486567,0.0690260143892549,0.0044963211212972,0.0620108471256656,0.0906457178300442,0.0007802874743326,7.186858316221766e-05,0.0027960810777088,0.0008451355268625,YSO,0.7137371663244354,0.0906457178300442,1.0,266.99625000000003,-24.769630555555555,0.72,7.1,9.78942149604352e-16,-0.22140463545067973,0.106,0.999,15.183723,11.982,,6,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174801.5-244619,0.0018583162217659,0.0236498973305954,0.7687217659137577,0.0005338809034907,0.0197587268993839,0.1380441478439425,0.0052419808709878,0.0348229941249314,0.1190657517337912,0.0025890872911544,0.0186248268047254,0.0921380120235581,0.0438424024640657,0.0035908624229979,0.0411121852587587,0.0069314073378359,HM-STAR,0.7687217659137577,0.1190657517337912,1.0,267.00629166666664,-24.77218611111111,0.72,8.64,9.650373637900786e-16,-0.4162391743671541,0.244,0.96,17.09712,,,3,conf,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174807.0-244328,0.8533418891170431,0.0011704312114989,0.0002104722792607,7.700205338809034e-05,7.186858316221766e-05,0.0136447638603696,0.133515772905361,0.003921861202512,0.0020481995660168,0.0008293342629035,0.0009590640774228,0.0182427135152215,0.0187114989733059,0.1127720739219712,0.046198863357786,0.1235333917202062,AGN,0.8533418891170431,0.133515772905361,1.0,267.0293333333333,-24.724619444444443,0.83,6.36,5.002401644536113e-15,0.8292548380798256,0.617,0.954,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174801.5-244621,0.1006468172484599,0.0230082135523613,0.2364065708418891,0.0002156057494866,0.0441478439425051,0.0309086242299794,0.0956085743613055,0.0218806426413001,0.0898212396109534,0.0016517836734302,0.0446442223401634,0.0199013721155778,0.3653131416837782,0.19935318275154,0.1597733475960293,0.1464611412081768,LMXB,0.3653131416837782,0.1597733475960293,0.0,267.00625,-24.772691666666667,0.74,6.51,9.092939386444296e-16,-0.042334564822519766,0.698,0.948,18.39967,,,1,conf,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174802.6-244602,0.2040793976728268,0.3566735112936344,0.0013757700205338,0.0007751540041067,0.0001950718685831,0.0928952772073922,0.1146251521940033,0.2280211629361487,0.0054599794235637,0.0030226549057473,0.0013837020606216,0.0589125967670475,0.1656091718001369,0.1783966461327857,0.1425549092034849,0.119542034579677,CV,0.3566735112936344,0.2280211629361487,0.0,267.01104166666664,-24.767427777777776,0.71,46.36,8.471290528855782e-14,0.8061534163154179,0.889,1.0,,,,0,extent,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174759.9-244734,0.0839442162902121,0.0161909650924024,0.3007751540041067,0.0001232032854209,0.0363603696098562,0.0273887748117727,0.0682630917000619,0.0177792932578614,0.0783277809790409,0.001103677681767,0.0402174524845151,0.0187486181758457,0.3323973305954825,0.202819986310746,0.1533481326167345,0.1426665097580878,LMXB,0.3323973305954825,0.1533481326167345,0.0,266.9999583333333,-24.79288055555556,0.72,10.86,1.9131087234825778e-15,0.05325045367850774,0.808,0.958,15.248162,,,1,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.4-244543,0.9309984599589324,0.0010574948665297,0.0001950718685831,0.0,1.026694045174538e-05,0.0113090349075975,0.0733006188741117,0.0036072298487026,0.0016543369596061,0.0,0.000320420668056,0.0151933743231226,0.0223074948665297,0.0341221765913757,0.042331767939253,0.0510559057284154,AGN,0.9309984599589324,0.0733006188741117,1.0,267.0185,-24.76205,0.71,8.55,2.265332878785412e-15,0.69228008664527,1.0,0.932,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.4-244503,0.5598921971252567,0.0022843942505133,0.0105441478439425,0.0,3.080082135523614e-05,0.001006160164271,0.2184087404010064,0.0088258369888387,0.020947779285194,0.0,0.0005544141981805,0.0033183229581968,0.0413774811772758,0.3848648186173853,0.0539884523566917,0.2169217711332874,AGN,0.5598921971252567,0.2184087404010064,0.0,267.018625,-24.750977777777777,0.72,11.11,1.3272095082103011e-14,0.8050770286156228,0.574,0.846,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.2-244606,0.8869062286105408,0.0005646817248459,0.0002977412731006,2.053388090349076e-05,2.053388090349076e-05,0.0102515400410677,0.104650130228092,0.0027087891378539,0.0017452490290743,0.0004529103357533,0.0004529103357533,0.0151105339096905,0.0133316221765913,0.0886071184120465,0.0242336580177622,0.0998548352067779,AGN,0.8869062286105408,0.104650130228092,1.0,267.01758333333333,-24.768602777777776,0.71,11.45,4.956282790107421e-15,0.8441022325531555,0.706,0.927,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.6-244625,0.6975667351129364,0.0402258726899384,0.0786704312114989,0.0028234086242299,0.0054363449691991,0.021570841889117,0.0975076520159446,0.0221865006225595,0.0350810719896257,0.0055467392978211,0.0093239931516477,0.0158291433744473,0.1067351129363449,0.0469712525667351,0.0744232200497055,0.0460507695508997,AGN,0.6975667351129364,0.0975076520159446,1.0,267.0193333333333,-24.77373055555556,0.72,6.27,1.7876587742343337e-15,0.6519274640086437,0.986,0.792,19.370758,,,1,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.5-244640,0.0297741273100616,0.0223819301848049,0.1605184804928131,7.186858316221766e-05,0.0632340862422998,0.0275924024640657,0.044193705029594,0.0171857012308113,0.0685971091123568,0.0008451355268625,0.0660083665033817,0.0179707763164666,0.4893891170431211,0.2070379876796714,0.1861904050476266,0.1558619226944085,LMXB,0.4893891170431211,0.1861904050476266,0.0,267.0190416666666,-24.777991666666665,0.71,13.84,2.825310540071466e-15,-0.4953142013150125,0.96,0.971,18.776318,,,1,conf,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.5-244642,0.4220123203285421,0.0500667351129363,0.0512731006160164,0.0146098562628336,0.0057443531827515,0.0739065708418891,0.1503435419887515,0.0262061685585998,0.0272058000291716,0.0138632932476736,0.0086756883465367,0.0412628177704224,0.1016375770020533,0.2807494866529774,0.0501089569742373,0.1614356998847914,AGN,0.4220123203285421,0.1503435419887515,0.0,267.0190416666666,-24.778377777777777,0.71,18.31,1.0513644305629174e-14,0.8962716419946228,1.0,0.957,19.332426,,,1,conf,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.5-244634,0.96564681724846,0.0001540041067761,0.0001283367556468,0.0,0.0,0.0009548254620123,0.0570560074015869,0.0021450244499869,0.0011146773324795,0.0,0.0,0.0032317178603983,0.0131878850102669,0.0199281314168377,0.0436075723579149,0.0339887680074931,AGN,0.96564681724846,0.0570560074015869,1.0,267.019125,-24.77626111111111,0.72,6.25,2.203305316411815e-15,0.7302042901218295,0.69,0.86,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174803.8-244641,0.0510985626283367,0.1765041067761807,0.1184086242299794,0.0352772073921971,0.0054568788501026,0.3670071868583162,0.0287120684665818,0.0642765214222007,0.0449886746917546,0.0219284821381684,0.0079774662674954,0.0776180660840167,0.1954928131416837,0.0507546201232032,0.0657908131056124,0.0421587363249833,YSO,0.3670071868583162,0.0776180660840167,0.0,267.016,-24.77828333333333,0.71,16.98,1.4643643357811033e-14,0.86436312797648,1.0,1.0,17.113989,,,3,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.0-244640,0.1907614647501711,0.0691375770020533,0.0568069815195071,0.0082443531827515,0.0048203285420944,0.0323254620123203,0.1082718181069527,0.0392710501507167,0.0320267699005498,0.0094367502257248,0.0076668529808437,0.0260850421307321,0.1172655715263518,0.5206382614647502,0.0644749400923112,0.1581028881147583,NS,0.5206382614647502,0.1581028881147583,0.0,267.0170833333333,-24.77796111111111,0.71,31.92,5.5676021566603087e-14,0.8746293246472865,0.479,0.961,18.245098,,,1,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.8-244628,0.921211498973306,0.0114579055441478,0.0002772073921971,2.053388090349076e-05,0.0007700205338809,0.0036909650924024,0.0765381527710918,0.0167236708170924,0.0018898642408994,0.0004529103357533,0.0092954521806717,0.0068911654192428,0.0251386036960985,0.0374332648870636,0.0339564179976066,0.0583983130081424,AGN,0.921211498973306,0.0765381527710918,1.0,267.02029166666665,-24.77462222222222,0.72,6.81,2.3964203140373238e-15,0.7111136382660763,0.376,0.979,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174805.8-244535,0.0012217659137577,0.069594455852156,0.3697997946611909,0.0008110882956878,0.0258264887063655,0.3705030800821355,0.0036335338027621,0.0565241474929642,0.1503077895969604,0.0029832075838933,0.019574341821646,0.1139091138525082,0.1551334702258726,0.0071098562628336,0.0957524571015126,0.0104172580629318,YSO,0.3705030800821355,0.1139091138525082,0.0,267.02416666666664,-24.75975555555556,0.71,15.43,3.2887955048129297e-15,-0.5421908203756518,1.0,1.0,17.010517,,,3,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174803.5-244646,0.6990195071868583,0.0187303216974674,0.0022022587268993,7.186858316221766e-05,0.0055287474332648,0.0265058179329226,0.1525091227010828,0.0202165632644726,0.0062781661352164,0.0008451355268625,0.0129927126017693,0.0234049778645814,0.1668018480492813,0.0811396303901437,0.1251429306437498,0.0889006455505709,AGN,0.6990195071868583,0.1525091227010828,0.0,267.01466666666664,-24.779480555555555,0.71,7.05,2.232806750257035e-15,0.6022982200156463,1.0,0.995,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174803.9-244647,0.1027258726899384,0.1966581108829569,0.1958213552361396,0.0167145790554414,0.0100205338809034,0.2725975359342916,0.0417824568192222,0.0766041006292808,0.0634365526615191,0.0149437676009229,0.0108051788676615,0.077135431905033,0.1297895277207392,0.0756724845995893,0.057734123680773,0.0610172799357503,YSO,0.2725975359342916,0.077135431905033,0.0,267.016625,-24.779866666666667,0.72,7.53,2.323478123341024e-15,0.6651904476191646,0.952,,18.76937,,,3,conf,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174803.5-244649,0.2901018138261464,0.1958701232032854,0.0020773442847364,0.0007494866529774,0.0002669404517453,0.1533247775496235,0.1179182319189156,0.1274134686942964,0.0061016246249994,0.0028857794911706,0.0017354876110905,0.0752619227264577,0.1607135523613963,0.196895961670089,0.124731897813169,0.113093745059242,AGN,0.2901018138261464,0.1179182319189156,0.0,267.014875,-24.78048611111111,0.71,21.48,2.006931578242534e-14,0.8382973475751783,0.958,1.0,,,,0,conf,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.6-244605,0.8671663244353183,0.0024229979466119,0.000400410677618,2.053388090349076e-05,3.593429158110883e-05,0.002094455852156,0.1409222269726263,0.0068519601209036,0.0022992558418404,0.0004529103357533,0.0005768239758102,0.0049744785512386,0.0215246406570841,0.1063347022587269,0.0332144130452523,0.1324687125388852,AGN,0.8671663244353183,0.1409222269726263,1.0,267.0195,-24.76810833333333,0.71,11.57,5.311885480888136e-15,0.7816593733972195,0.195,0.934,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174801.6-244748,0.9019661190965091,0.0063809034907597,0.0003439425051334,1.026694045174538e-05,0.0001232032854209,0.0073340177960301,0.1036111092243842,0.0105826014790633,0.0019261224916411,0.000320420668056,0.001103677681767,0.0102003790504572,0.0296509240246406,0.054190622861054,0.0443275822365222,0.0882172684514306,AGN,0.9019661190965091,0.1036111092243842,1.0,267.00691666666665,-24.79670555555556,0.71,10.89,4.144861717574877e-15,0.7313571225892861,0.999,0.968,,,,0,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.2-244625,0.0197330595482546,0.0287320328542094,0.1332905544147843,8.213552361396305e-05,0.1037217659137577,0.0310215605749486,0.0245918500918062,0.0208764549824946,0.0633549745376364,0.0009030206009077,0.0957395812549448,0.0199178308777213,0.4637371663244353,0.2196817248459958,0.1603671491381315,0.1407652384223498,LMXB,0.4637371663244353,0.1603671491381315,0.0,267.01775,-24.773805555555555,0.71,20.91,6.546018350593998e-15,-0.12169545904109007,0.709,0.997,19.727219,,,1,conf,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174804.1-244648,0.0520696440793976,0.0503747433264887,0.2175872689938398,9.24024640657084e-05,0.0086498973305954,0.0235626283367556,0.0393649743138243,0.049024274234503,0.0952331486531887,0.0009573021026612,0.0125765738847287,0.0166608044402284,0.2325427789185489,0.415120636550308,0.1285000436373031,0.1432885928391602,NS,0.415120636550308,0.1432885928391602,0.0,267.0174583333333,-24.78003888888889,0.72,19.28,7.892347418947721e-15,0.24651474786395935,0.997,0.551,19.111443,,,1,,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
2CXO J174803.8-244646,0.1213347022587269,0.1898562628336755,0.1092094455852156,0.0332956878850102,0.0052720739219712,0.2859496919917864,0.0460329084558881,0.0717644304706566,0.0435175039277219,0.0214557754459915,0.0079730339720912,0.0794938157141877,0.2094866529774127,0.0455954825462012,0.0759235248820321,0.0449334853874929,YSO,0.2859496919917864,0.0794938157141877,0.0,267.01604166666664,-24.77950555555556,0.72,12.22,8.288677610703522e-15,0.8388975633790041,0.928,0.859,18.530703,,,3,conf,3.779722,1.714708,7.3564799999999995,extent,J1747-248,
