_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[5.928],34.0,5.928,J110458.20-585236.0,166.2425207,-58.8766679,0.0625,0.0598,156.9,Im,12.446,0.031,12.47,0.032,11.481,,9.159,,12.854,0.033,12.734,0.033,12.656,0.033,3127.509,2530.276,1.67005910135104e+18,35.3,6.49,34.0,2.26,-0.6,0.568,-1.9,0.841,2.99,1.0,0.0,0.0,0.0,0.0,0.0,hh00,1.0,22nn,62.0,62.0,62.0,62.0,0.0,38.0,0.0,38.0,0.0,166.2425215,0.0621,-58.8766671,0.0644,-0.0085,76,35,115,36,6.49,2.25,0.568,0.841,2.98,1N000,AAUU,3.0,0.0,63.839,63.798,40.698,40.64,826880993,0.17,2M
[0.644],35.0,0.644,J110523.82-584949.6,166.3492543,-58.8304571,0.0957,0.0909,34.7,Im,13.943,0.047,13.884,0.043,11.942,,9.186,,15.05,0.064,14.251,0.068,14.009,0.068,2984.328,2652.867,1.6700591013510405e+18,23.1,2.23,25.1,1.07,-0.1,0.544,-0.1,0.804,1.27,1.0,0.0,0.0,0.0,0.0,0.0,0h00,0.0,21nn,58.0,58.0,58.0,58.0,0.0,38.0,0.0,38.0,0.0,166.3492568,0.0993,-58.8304567,0.1,0.0256,80,74,21,76,2.23,1.07,0.544,0.804,1.27,1N000,AAUU,3.0,0.0,58.744,58.616,39.139,39.474,826908276,0.245,2M
[1.492],36.0,1.492,J110526.39-585126.3,166.3599812,-58.8573101,0.0401,0.0376,138.5,Im,12.129,0.022,12.322,0.022,12.437,0.535,8.773,,13.08,0.041,12.589,0.031,12.552,0.032,2969.079,2582.714,1.6700591013510395e+18,48.4,17.9,50.3,4.14,2.0,0.799,1.5,0.9,6.98,1.0,0.0,0.0,0.0,0.0,0.001,hh00,1.0,21nn,56.0,56.0,56.0,56.0,0.0,36.0,0.0,37.0,0.0,166.3599835,0.04,-58.8573089,0.0399,-0.0099,71,30,42,31,17.9,4.14,0.799,0.9,6.98,2N000,AACU,7.0,0.0,60.116,59.664,39.886,39.64,826907985,1.262,2M
[],37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2.406],38.0,2.406,J110527.32-585104.1,166.3638526,-58.8511415,0.0495,0.0487,167.4,Im,13.14,0.025,13.269,0.029,12.526,0.537,9.55,,13.631,0.024,13.475,0.022,13.312,0.041,2964.0,2598.917,1.6700591013510397e+18,43.0,6.98,37.5,1.86,2.0,0.77,-0.1,0.971,3.01,1.0,0.0,0.0,0.0,0.0,0.0,hd00,1.0,41nn,57.0,57.0,57.0,57.0,1.0,38.0,0.0,38.0,0.0,166.3638548,0.052,-58.8511375,0.0509,-0.0066,54,42,186,42,6.97,1.85,0.77,0.971,3.01,1N000,AACU,7.0,0.0,60.134,59.815,40.225,39.758,826908046,0.569,2M
"[1.54, 9.174]",39.0,1.54,J110524.02-585219.4,166.3501163,-58.8720589,0.0911,0.0843,178.4,Im,14.134,0.037,14.706,0.069,11.759,0.291,8.062,0.161,14.574,0.05,14.154,0.053,14.068,0.069,2982.037,2543.964,1.6700591013510408e+18,29.2,3.09,15.8,1.48,3.7,0.968,6.7,1.05,1.79,2.0,1.0,0.0,0.0,0.0,0.0,0000,1.0,nnnn,58.0,58.0,37.0,58.0,3.0,37.0,3.0,37.0,0.0,166.3501276,0.1084,-58.8720716,0.1088,-0.0232,174,91,-376,92,4.44,1.51,0.971,1.05,2.21,1N001,AABB,15.0,0.0,60.346,60.776,40.557,41.057,826907822,0.927,2M
"[0.626, 9.836]",40.0,0.626,J110456.15-584924.0,166.2339599,-58.8233374,0.0995,0.0932,60.8,Im,13.903,0.043,14.041,0.053,11.194,0.434,8.562,,15.341,0.085,14.688,0.111,14.421,0.111,3140.774,2669.755,1.6700591013510405e+18,25.1,1.84,20.6,1.04,2.5,0.765,0.9,0.878,1.23,2.0,0.0,0.0,0.0,0.0,0.0,0h00,0.0,11nn,57.0,57.0,57.0,57.0,1.0,36.0,0.0,36.0,0.0,166.2339426,0.1001,-58.8233651,0.096,0.0238,14,99,-17,98,1.84,1.04,0.767,0.878,1.23,2Y010,AACU,7.0,0.0,58.467,58.8,38.766,38.583,826880387,0.686,2M
[0.132],41.0,0.132,J110451.89-585147.4,166.21622,-58.8631816,0.0489,0.0477,113.8,Im,11.751,0.026,11.82,0.027,11.892,,8.978,0.501,12.344,0.024,11.907,0.023,11.804,0.023,3163.532,2565.151,1.6700591013510395e+18,41.6,1.61,40.6,1.1,0.6,0.763,2.2,0.843,1.15,1.0,0.0,0.0,0.0,0.0,0.0,dd00,0.0,21nn,61.0,61.0,61.0,61.0,0.0,37.0,1.0,37.0,0.0,166.21622,0.0489,-58.8631816,0.0481,-0.0069,0,28,0,29,1.61,1.1,0.763,0.843,1.15,1N000,AAUC,11.0,0.0,61.404,61.872,37.99,38.449,826880848,0.202,2M
[8.326],42.0,8.326,J110450.12-585027.4,166.2088407,-58.8409599,0.0387,0.0363,130.2,Im,10.168,0.023,10.243,0.02,9.619,0.098,8.184,0.246,11.409,0.026,10.603,0.024,10.334,0.023,3174.244,2623.203,1.670059101351039e+18,47.0,1.71,53.4,1.38,11.1,0.597,4.4,0.853,1.23,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,110n,58.0,58.0,58.0,58.0,36.0,36.0,3.0,36.0,0.0,166.2088407,0.038,-58.8409599,0.0374,-0.0095,0,24,0,24,1.71,1.38,0.597,0.853,1.23,1N000,AAAB,15.0,0.0,59.142,60.286,37.2,37.18,826880590,0.055,2M
[9.923],43.0,9.923,J110515.19-584831.9,166.3132924,-58.8088874,0.0393,0.0366,138.2,Im,11.322,0.023,11.371,0.02,12.647,,9.299,,11.639,0.024,11.395,0.029,11.319,0.021,3033.669,2708.819,1.6700591013510392e+18,46.7,1.5,53.2,1.57,0.1,0.957,-4.4,1.01,1.31,1.0,0.0,0.0,0.0,0.0,0.0,0hO0,0.0,11nn,56.0,56.0,56.0,56.0,0.0,36.0,0.0,36.0,0.0,166.3132925,0.0384,-58.8088874,0.0387,-0.0105,21,27,18,27,1.5,1.57,0.957,1.01,1.31,1N000,AAUU,3.0,0.0,55.144,55.122,35.921,35.84,826880226,0.075,2M
