_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
[],229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.63, 6.212]",230.0,0.63,166.177309,-58.765957,0.07,0.06,0.0,11044255-5845574,12.885,0.029,0.032,185.5,12.461,0.029,0.03,130.2,12.377,0.035,0.036,79.6,AAA,222,111,ss0,666655,5.7,10.0,826879701.0,0.0,0.0,826879717.0,s,2000-02-04,73.0,289.464,1.287,113.7,2451578.7331,0.83,0.9,1.22,12.869,0.017,12.47,0.051,12.426,0.019,4457.0,139.0,sw,0.0,1.0,U,0.9,209,17.3,15.3,1.0,,45127.0,1037917.0,221.0,Opt
[],231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.295, 7.786]",232.0,0.295,166.16431,-58.930737,0.07,0.06,7.0,11043943-5855506,15.094,0.063,0.064,24.3,14.361,0.068,0.068,22.6,14.03,0.068,0.068,17.4,AAA,222,111,ccc,464616,8.1,230.0,826881573.0,0.0,0.0,826881558.0,s,2000-02-04,73.0,289.524,1.133,137.2,2451578.7333,1.23,1.06,1.09,14.865,0.088,14.087,0.084,14.07,0.163,3864.0,116.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.722, 6.574]",233.0,0.722,166.157074,-58.927696,0.39,0.35,99.0,11043769-5855397,14.699,0.436,0.436,34.9,10.956,,,,10.13,,,,DUU,200,100,c00,660000,6.0,152.0,826881542.0,0.0,0.0,826881523.0,s,2000-02-04,73.0,289.519,1.134,150.7,2451578.7333,0.95,,,12.583,0.083,,,,,3875.0,102.0,sw,1.0,1.0,U,1.8,15,17.3,14.3,1.0,,45127.0,1037917.0,221.0,Opt
"[0.537, 3.467]",234.0,0.537,166.296116,-58.746571,0.07,0.06,0.0,11051106-5844476,13.769,0.04,0.042,82.2,13.069,0.04,0.041,74.4,12.929,0.045,0.045,47.8,AEA,222,212,c0c,666655,3.6,348.0,826879488.0,0.0,0.0,826879501.0,s,2000-02-04,73.0,289.513,1.329,-108.2,2451578.7331,0.63,10.04,0.77,13.558,0.043,12.853,0.03,12.627,0.038,4527.0,144.0,se,0.0,1.0,U,0.4,137,19.3,15.4,1.0,,45127.0,1037917.0,221.0,Opt
[0.223],235.0,0.223,166.398244,-58.763199,0.06,0.06,0.0,11053557-5845475,14.749,0.031,0.033,33.3,14.141,0.02,0.022,26.8,13.899,0.049,0.05,19.6,AAA,222,111,cd0,462605,10.3,211.0,826909024.0,0.0,0.0,826909054.0,s,2000-02-04,74.0,289.568,1.335,87.1,2451578.7353,1.39,0.98,1.14,14.809,0.1,14.343,0.106,14.052,0.156,4464.0,166.0,sw,0.0,1.0,0,,,,,0.0,,45128.0,1037926.0,56.0,Opt
[0.448],236.0,0.448,166.478842,-58.816551,0.06,0.06,0.0,11055492-5848595,9.343,0.021,0.024,4844.3,9.246,0.026,0.027,2429.5,9.218,0.028,0.029,1459.6,AAA,222,111,000,666666,14.3,296.0,826908447.0,0.0,0.0,826908424.0,s,2000-02-04,74.0,289.627,1.302,-63.3,2451578.7352,0.81,0.87,1.24,9.334,0.009,9.236,0.027,9.199,0.021,4271.0,189.0,se,0.0,1.0,T,0.0,149,9.71,9.48,1.0,,45128.0,1037926.0,56.0,Opt
"[4.065, 6.441]",237.0,4.065,166.452435,-58.911823,0.16,0.14,1.0,11054858-5854425,15.992,0.089,0.09,10.6,15.52,0.131,0.131,7.5,15.601,,,,ABU,220,110,000,060600,7.5,208.0,826907348.0,0.0,0.0,826907368.0,s,2000-02-04,74.0,289.653,1.21,-14.0,2451578.7352,1.0,1.48,,17.056,0.261,18.379,5.246,,,3929.0,238.0,se,0.0,1.0,U,0.2,22,19.1,17.2,1.0,,45128.0,1037926.0,56.0,Opt
"[0.405, 7.652]",238.0,0.405,166.38593,-58.941902,0.07,0.06,4.0,11053262-5856308,14.949,0.06,0.061,27.7,14.651,0.071,0.072,16.7,14.423,0.094,0.095,12.1,AAA,222,111,000,562616,7.3,19.0,826907034.0,0.0,0.0,826907013.0,s,2000-02-04,74.0,289.633,1.168,109.5,2451578.7351,3.01,2.9,2.07,14.672,0.089,14.322,0.053,14.235,0.128,3821.0,143.0,sw,0.0,1.0,U,1.4,251,17.9,15.8,2.0,,45128.0,1037925.0,44.0,Opt
