_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
"[0.469, 9.809]",105.0,0.469,1304m485o0035771,130.6885005,-48.155391,1424.972,1424.976,858.869,858.853,4458.5,4833.1,0.005,0.013,0.005,0.012,14.826,35.934,1.0,1.0,27.18,2.6,0.8585,0.8425,4426.4,4835.3,15.118,36.813,2.6406,2.8652,0.00177336,0.00074923,0.000145157,0.000313,85.573,85.047,130.6885005,130.6885191,-48.155391,-48.1553881,1304m485,1304m485w1o0036785,1304m485w2o0031452,222.0,220.0,1.0,1.0,32.0,0.0,160.0,0.0,1.0
"[0.549, 8.467]",106.0,0.549,1304m485o0037427,130.5846209,-48.1027037,1494.108,1494.107,949.514,949.481,4391.2,5066.3,0.005,0.012,0.005,0.011,14.325,35.781,1.0,1.0,78.29,6.766,0.6949,0.6937,4401.2,4968.6,14.589,36.604,2.6452,2.8682,0.00339156,0.00199318,0.000142606,0.000297,-13.043,0.078901,130.5846209,130.5846576,-48.1027037,-48.1027039,1304m485,1304m485w1o0038513,1304m485w2o0032885,225.0,225.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[],107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1.289, 9.552]",108.0,1.289,1304m485o0035915,130.5623344,-48.1504993,1431.555,1431.496,969.048,969.027,3325.4,3617.6,0.006,0.015,0.005,0.014,12.206,31.683,1.0,1.0,35.11,5.308,0.8677,0.8365,3361.9,3624.3,12.458,32.499,2.6421,2.8668,0.00114316,8.01682e-05,0.000167386,0.000368,-2.3678,12.535,130.5623344,130.5623584,-48.1504993,-48.1505449,1304m485,1304m485w1o0036933,1304m485w2o0031569,227.0,224.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.502, 7.147, 7.765, 8.797]",109.0,0.502,1304m485o0205884,130.6276654,-48.1773099,0.0,1396.386,0.0,912.046,0.0,465.97,0.0,0.111,0.0,0.101,0.0,26.349,0.0,1.0,0.0,3.119,0.0,0.2797,0.0,479.84,0.0,27.032,0.0,2.8666,0.0,0.00625187,0.0,0.002158,0.0,50.558,0.0,130.6276654,0.0,-48.1773099,1304m485,,1304m485w2o0126305,0.0,221.0,0.0,1.0,0.0,32.0,0.0,0.0,1.0
"[0.813, 4.461, 7.708]",110.0,0.813,1304m485o0035746,130.6081799,-48.1559113,1424.426,1424.1,929.016,929.037,4548.1,5252.9,0.005,0.012,0.004,0.011,14.579,35.593,1.0,1.0,69.5,3.146,0.797,0.8372,4409.8,5143.0,14.87,36.475,2.642,2.8648,0.00112093,-2.23517e-05,0.000144472,0.000291,35.417,43.147,130.6081799,130.6081566,-48.1559113,-48.15616,1304m485,1304m485w1o0036759,1304m485w2o0031427,222.0,232.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[2.577, 6.06, 7.29, 8.821]",111.0,2.577,1304m485o0205938,130.6200085,-48.1650888,0.0,1412.396,0.0,918.705,0.0,648.6,0.0,0.082,0.0,0.078,0.0,27.604,0.0,1.0,0.0,5.279,0.0,0.2265,0.0,594.97,0.0,28.316,0.0,2.8687,0.0,0.00968611,0.0,0.001627,0.0,51.596,0.0,130.6200085,0.0,-48.1650888,1304m485,,1304m485w2o0126525,0.0,235.0,0.0,1.0,0.0,32.0,0.0,0.0,1.0
"[0.175, 8.231]",112.0,0.175,1304m485o0036623,130.6408483,-48.1285632,1460.182,1460.183,900.42,900.416,6671.9,6796.2,0.004,0.009,0.003,0.009,16.044,37.686,1.0,1.0,21.77,1.665,0.9148,0.9051,6496.3,6811.9,16.325,38.527,2.6453,2.8684,0.000360668,-0.000394344,0.00011493,0.000244,25.057,31.36,130.6408483,130.640853,-48.1285632,-48.1285627,1304m485,1304m485w1o0037670,1304m485w2o0032176,223.0,219.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[1.03],113.0,1.03,1304m485o0036834,130.7403562,-48.1214612,1469.264,1469.237,813.443,813.618,539490.0,598560.0,0.001,0.001,0.001,0.0,395.79,241.85,0.13073,1.0,582.4,130.5,0.703,0.9973,551560.0,598340.0,482.27,246.45,2.6458,2.8684,0.00600433,0.000209987,6.09951e-05,2.3e-05,30.651,38.686,130.7403562,130.7401554,-48.1214612,-48.1214823,1304m485,1304m485w1o0037892,1304m485w2o0032368,180.0,224.0,1.0,1.0,33.0,1.0,184.0,8.0,1.0
"[0.634, 8.474]",114.0,0.634,1304m485o0034781,130.626763,-48.1856673,1385.447,1385.477,912.852,912.868,7475.6,7668.1,0.003,0.008,0.003,0.008,16.724,38.76,1.0,1.0,17.64,6.26,0.9515,0.9505,7570.6,7793.5,17.031,39.654,2.6428,2.8673,-0.000724792,-0.000660956,0.000110312,0.000225,39.649,44.274,130.626763,130.6267446,-48.1856673,-48.1856446,1304m485,1304m485w1o0035773,1304m485w2o0030607,231.0,228.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[3.872, 6.432]",115.0,3.872,1304m485o0036307,130.6160753,-48.1381149,1447.714,1447.849,922.086,922.299,1680.4,1837.9,0.012,0.03,0.011,0.028,11.394,29.741,1.0,1.0,51.1,14.64,0.4941,0.4873,1663.2,1787.2,11.62,30.486,2.6415,2.8672,0.00439823,0.00797009,0.000265564,0.000645,19.78,33.945,130.6160753,130.6158314,-48.1381149,-48.1380118,1304m485,1304m485w1o0037337,1304m485w2o0031910,230.0,228.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[0.535],116.0,0.535,1304m485o0100644,130.521029,-48.1003678,1497.204,1496.89,1005.106,1005.013,2220.5,2424.6,0.011,0.024,0.01,0.023,14.771,33.451,1.0,1.0,29.82,28.84,0.316,0.366,2322.0,2782.7,15.034,34.33,2.6411,2.8648,-0.00434488,-0.0109812,0.000277012,0.000583,-10.196,-26.364,130.521029,130.5211357,-48.1003678,-48.1006077,1304m485,1304m485w1o0112422,1304m485w2o0094168,230.0,231.0,1.0,1.0,163.0,162.0,160.0,0.0,1.0
[],117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.319, 6.498, 7.316, 7.551]",119.0,0.319,1304m485o0060342,130.612609,-48.0691728,1537.973,1538.055,924.981,924.924,4772.2,5187.5,0.005,0.013,0.006,0.014,16.473,40.116,1.0,1.0,62.38,7.808,0.4193,0.3894,4714.5,5200.5,16.679,40.8,2.6399,2.8648,-0.000566602,0.000219107,0.000147027,0.000323,-20.657,-18.095,130.612609,130.6126747,-48.0691728,-48.0691104,1304m485,1304m485w1o0062791,1304m485w2o0053039,219.0,222.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
