name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
IC2395_CXO-135.0,130.6713076871316,-48.03505409325062,1.88181532999789,3.1258667,3.0242669745427824e-15,-0.994723451550282,,,20.29548,,,3,,CV,0.3123,0.11736031886649102,0.05159960526484708,12,p,,0.0327,0.3123,0.035,0.036699999999999997,0.0012,0.302,0.16519999999999999,0.1149,0.03681389175654519,0.11736031886649102,0.02484294099279949,0.0256257052132574,0.004089898865164363,0.0822536112620994,0.1329652495043632,0.05373889361411051
IC2395_CXO-136.0,130.543182983824,-48.01796181149032,2.413053233412953,3.7598665,1.2253882300927831e-14,-0.2341577549294741,,0.2911082480365841,13.919374,,,3,,CV,0.3625,0.1140120053930172,0.6063697734325348,12,p,,0.0075,0.3625,0.23379999999999998,0.1753,0.0018,0.0659,0.0034000000000000002,0.14980000000000002,0.010859525446781412,0.1140120053930172,0.09823472199818457,0.06621750203501771,0.006723995925944722,0.04449707742076887,0.006547418336160205,0.05255069702273944
IC2395_CXO-137.0,130.58900465699145,-48.0070025489489,2.034076876437654,4.2151036,2.745325011643671e-15,-0.34785526593386007,,,17.85202,,,3,,YSO,0.226,0.06205243790944118,0.1830487623445522,12,p,,0.12450000000000001,0.1396,0.1675,0.0086,0.022099999999999998,0.2002,0.1115,0.226,0.04673966152633071,0.07661948482302301,0.07012794944192574,0.012145581563480258,0.015909783534706314,0.0788936120367297,0.05639641438562877,0.06205243790944118
IC2395_CXO-138.0,130.5858122998741,-48.0032903343804,1.8526242176083776,4.81709,5.1946849984230246e-15,0.7435040271490507,,,,,,0,,NS,0.4902,0.1899121540676801,0.3189131916496856,12,p,,0.3784,0.0002,0.08120000000000001,0.0,0.0,0.031400000000000004,0.4902,0.018600000000000002,0.16065346355910087,0.001407052941362897,0.06872989145777825,0.0,0.0,0.052339605877713136,0.1899121540676801,0.023312544851962165
IC2395_CXO-139.0,130.47209366151364,-47.986514145037525,2.0505399188091142,12.086986,7.06547294472183e-14,-0.4713966326010329,0.803,0.9999999767669334,14.684675,,,3,,CV,0.43689999999999996,0.09337331394770007,0.5231224149299192,12,p,,0.0029,0.43689999999999996,0.0218,0.0228,0.0005,0.348,0.0064,0.1607,0.005182526976156117,0.09337331394770007,0.017196429039692273,0.01764292286648466,0.002190429135575903,0.07656778867530564,0.009797958971132713,0.07377627934464703
IC2395_CXO-14.0,130.72137438853153,-48.12766761659804,0.3477736918991412,38.56813,4.9607214748114093e-14,-0.5799531431873599,0.411,0.1774351289689036,,,,0,,NS,0.5423,0.15283089618360163,0.3450029386750014,12,p,,0.0026,0.0021000000000000003,0.0054,0.012199999999999999,0.0,0.435,0.5423,0.0004,0.005434643827828419,0.005182526976156116,0.008577631233374258,0.019414666953859728,0.0,0.15818094740268857,0.15283089618360163,0.001969463855669324
IC2395_CXO-140.0,130.56175203464215,-47.98129238675572,2.2058428593817303,7.208418,6.551050740495176e-15,0.4597150452371765,,,,,16.183,2,,AGN,0.8712000000000001,0.04619414454126183,9.921230254785229,12,p,,0.8712000000000001,0.0011,0.0029,0.0001,0.0009,0.0024,0.0694,0.052000000000000005,0.04619414454126183,0.0034509550720186015,0.00591095541679972,0.001,0.0028762349126466137,0.005880974288828219,0.02994338091475411,0.03637626043496394
IC2395_CXO-141.0,130.58605197007458,-47.96367741583811,2.411525647829171,7.399621,2.7022584591921244e-14,0.4444905933700315,0.74,0.8362321555425423,20.824003,,15.631,5,,AGN,0.5379999999999999,0.17761608808741045,1.1463618823485326,12,p,,0.5379999999999999,0.1375,0.0052,0.0377,0.0028000000000000004,0.2141,0.020700000000000003,0.044000000000000004,0.17761608808741045,0.10000378780705048,0.0068872595010166,0.046031499974463035,0.006208498574168681,0.10492994295858989,0.021237236214258253,0.02863916933505614
IC2395_CXO-142.0,130.4825682488588,-48.05916220608434,2.6000471699354706,3.247912,7.646689523518038e-15,0.7108453610600777,,,21.19131,,15.441479503936788,5,,AGN,0.4166,0.18094153305374194,0.7918788289908655,12,p,,0.4166,0.1659,0.015,0.0066,0.0113,0.184,0.1356,0.065,0.18094153305374194,0.1356473070841877,0.015208981928884367,0.014014422585466745,0.013231047050804636,0.0920254685871627,0.10172571558913317,0.04455163840812686
IC2395_CXO-143.0,130.60627254523226,-47.97170503125935,3.4302183827227783,4.0101166,7.083187911656466e-15,0.5661858737961308,,,,,,0,,NS,0.6775,0.2511161950857479,0.9652476759245807,12,p,,0.2348,0.0005,0.0526,0.0,0.0,0.0277,0.6775,0.0069,0.2075225678368889,0.0026111648393354675,0.06641802116409021,0.0,0.0,0.046620214976385986,0.2511161950857479,0.018624139868960013
