_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
[],69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.641],70.0,0.641,130.575468,-48.053818,0.07,0.06,0.0,08421811-4803137,14.624,0.032,0.035,51.0,13.913,0.042,0.043,36.6,13.767,0.049,0.05,22.9,AAA,222,111,000,556625,10.2,343.0,157283173.0,0.0,0.0,157283149.0,s,1998-11-21,114.0,266.569,-3.581,23.9,2451138.849,1.02,1.22,1.26,14.63,0.055,13.941,0.076,13.908,0.151,742.0,228.0,nw,0.0,1.0,U,0.2,42,20.6,17.7,1.0,,9546.0,219558.0,267.0,Opt
"[0.477, 7.721, 9.862]",71.0,0.477,130.536646,-48.01796,0.07,0.06,0.0,08420879-4801046,11.425,0.021,0.024,971.5,11.146,0.023,0.024,468.3,11.087,0.023,0.024,270.2,AAA,222,111,000,666655,7.6,159.0,157283438.0,0.0,0.0,157283453.0,s,1998-11-21,114.0,266.525,-3.58,117.4,2451138.849,0.94,0.84,0.87,11.419,0.011,11.166,0.032,11.102,0.023,613.0,135.0,nw,0.0,1.0,U,1.5,346,12.6,11.3,1.0,,9546.0,219558.0,267.0,Opt
"[0.501, 9.063]",72.0,0.501,130.689835,-48.089088,0.06,0.06,45.0,08424556-4805207,13.563,0.074,0.075,135.6,12.865,0.062,0.062,99.5,12.626,0.039,0.04,67.8,AAA,222,111,ccc,666666,9.3,6.0,157286653.0,0.0,0.0,157286685.0,s,1998-11-21,115.0,266.644,-3.543,184.4,2451138.8497,1.08,0.76,0.89,13.45,0.017,12.826,0.024,12.637,0.03,866.0,68.0,nw,0.0,1.0,0,,,,,0.0,,9547.0,219559.0,9.0,Opt
"[0.242, 8.333]",73.0,0.242,130.597863,-48.187496,0.07,0.06,0.0,08422348-4811149,14.006,0.032,0.034,90.2,13.217,0.034,0.035,69.5,13.031,0.039,0.04,45.1,AAA,222,111,000,665566,8.4,107.0,157282052.0,0.0,0.0,157282063.0,s,1998-11-21,114.0,266.684,-3.652,-30.0,2451138.8489,1.63,0.95,1.17,13.884,0.041,13.13,0.046,12.983,0.079,1223.0,222.0,ne,0.0,1.0,U,0.5,282,18.0,15.8,1.0,,9546.0,219557.0,257.0,Opt
[],74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2.253, 8.393]",75.0,2.253,130.468461,-48.19054,0.07,0.06,0.0,08415243-4811259,13.066,0.023,0.026,214.3,12.341,0.03,0.031,161.3,12.1,0.026,0.027,110.0,AAA,222,111,000,666644,8.4,115.0,157209799.0,0.0,0.0,157209788.0,s,1998-11-21,113.0,266.633,-3.722,-153.8,2451138.84,1.33,1.25,1.33,13.059,0.033,12.35,0.041,12.098,0.021,1229.0,98.0,ne,0.0,1.0,U,0.4,220,17.5,16.0,1.0,,9545.0,219514.0,21.0,Opt
"[0.171, 7.812]",76.0,0.171,130.439192,-48.019207,0.08,0.06,2.0,08414540-4801091,13.413,0.034,0.036,155.7,12.696,0.035,0.036,116.3,12.483,0.029,0.03,77.3,AAA,222,111,000,666666,8.0,177.0,157208270.0,0.0,0.0,157208251.0,s,1998-11-21,113.0,266.486,-3.632,-83.7,2451138.8399,0.63,0.85,0.78,13.44,0.016,12.721,0.05,12.497,0.032,612.0,168.0,ne,0.0,1.0,U,0.1,247,17.8,15.7,1.0,,9545.0,219513.0,9.0,Opt
[],77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1.723],78.0,1.723,130.634872,-48.185883,0.07,0.06,7.0,08423236-4811091,14.841,0.039,0.041,41.8,14.191,0.032,0.034,28.4,13.873,0.052,0.053,20.8,AAA,222,111,000,554624,14.8,217.0,157282046.0,0.0,0.0,157282082.0,s,1998-11-21,114.0,266.698,-3.631,-118.8,2451138.8489,0.82,1.06,1.14,14.827,0.059,14.244,0.124,13.807,0.163,1216.0,133.0,ne,0.0,1.0,0,,,,,0.0,,9546.0,219557.0,257.0,Opt
"[5.216, 8.062]",79.0,5.216,130.687592,-48.048298,0.07,0.07,45.0,08424502-4802538,15.43,0.049,0.051,24.3,14.92,0.089,0.089,15.0,14.658,0.106,0.106,10.4,AAA,222,111,000,461606,9.2,63.0,157286342.0,0.0,0.0,157286352.0,s,1998-11-21,115.0,266.611,-3.519,190.0,2451138.8496,0.88,0.74,1.24,15.501,0.096,14.837,0.112,14.599,0.163,719.0,62.0,nw,0.0,1.0,U,0.2,115,17.9,16.8,1.0,,9547.0,219559.0,9.0,Opt
[0.107],80.0,0.107,130.533961,-48.14056,0.07,0.06,0.0,08420815-4808260,13.657,0.029,0.032,124.4,12.847,0.02,0.021,97.8,12.778,0.027,0.029,56.9,AAA,222,111,000,666666,18.0,355.0,157282450.0,0.0,0.0,157282409.0,s,1998-11-21,114.0,266.621,-3.657,123.5,2451138.8489,2.54,0.89,1.37,13.619,0.048,12.888,0.035,12.747,0.039,1054.0,129.0,nw,0.0,1.0,U,0.1,24,17.6,15.7,1.0,,9546.0,219557.0,257.0,Opt
[3.079],81.0,3.079,130.483813,-48.059361,0.16,0.14,11.0,08415611-4803336,16.561,0.122,0.123,8.6,15.75,,,,15.169,,,,BUU,200,100,000,060000,16.1,78.0,157208558.0,0.0,0.0,157208564.0,s,1998-11-21,113.0,266.536,-3.633,-191.0,2451138.8399,1.12,,,17.042,0.506,,,,,756.0,61.0,ne,0.0,1.0,U,0.1,328,20.0,17.6,1.0,,9545.0,219513.0,9.0,Opt
"[1.503, 3.758]",82.0,1.503,130.635979,-48.012817,0.07,0.06,7.0,08423263-4800461,13.583,0.054,0.056,133.1,12.875,0.076,0.076,95.3,12.662,0.043,0.044,63.3,AAA,222,122,ccc,666666,4.6,212.0,157283490.0,0.0,0.0,157283499.0,s,1998-11-21,114.0,266.562,-3.524,-121.8,2451138.849,1.1,1.02,1.2,12.093,0.104,11.43,0.089,11.334,0.083,593.0,130.0,ne,0.0,1.0,U,4.1,30,13.4,11.6,1.0,,9546.0,219558.0,267.0,Opt
[2.0],83.0,2.0,130.737923,-48.074291,0.06,0.06,45.0,08425710-4804274,13.431,0.039,0.041,153.1,12.803,0.051,0.052,105.4,12.621,0.038,0.039,68.1,EEA,222,111,000,666666,10.5,265.0,157286568.0,0.0,0.0,157286562.0,s,1998-11-21,115.0,266.652,-3.508,68.8,2451138.8497,14.19,12.28,4.74,13.242,0.012,12.585,0.018,12.427,0.019,812.0,183.0,nw,0.0,1.0,U,0.8,344,16.1,14.8,1.0,,9547.0,219559.0,9.0,Opt
[],84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
